record_id,policy_id,entry_type,update_type,update_level,update_level_var,description,date_announced,date_start,date_end,date_end_spec,country,ISO_A3,ISO_A2,init_country_level,domestic_policy,province,ISO_L2,city,type,type_sub_cat,type_new_admin_coop,type_vac_cat,type_vac_mix,type_vac_reg,type_vac_purchase,type_vac_group,type_vac_group_rank,type_vac_who_pays,type_vac_dist_admin,type_vac_loc,type_vac_cost_num,type_vac_cost_scale,type_vac_cost_unit,type_vac_cost_gov_perc,type_vac_amt_num,type_vac_amt_scale,type_vac_amt_unit,type_vac_amt_gov_perc,type_text,institution_cat,institution_status,institution_conditions,target_init_same,target_country,target_geog_level,target_region,target_province,target_city,target_intl_org,target_other,target_who_what,target_who_gen,target_direction,travel_mechanism,compliance,enforcer,dist_index_high_est,dist_index_med_est,dist_index_low_est,dist_index_country_rank,pdf_link,link,date_updated,recorded_date
R_2WUS3eK7J6JeZN1NA,1128660,new_entry,,,"",ss,2021-07-30,2021-07-31,,The policy’s end date is unknown or unreported,Central African Republic,CAF,CF,National,1,,,,Anti-Disinformation Measures,,,"",,,,,,"","","","","","","","","","","",,,,"",Yes,Central African Republic,"One or more countries, but not all countries",,,,,,All Residents (Citizen Residents + Foreign Residents),No special population targeted,,,Mandatory (Unspecified/Implied),Ministry/Department of Justice,,,,,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_1jU0ZTK2OtHYFj3,http://prdjharkhand.in/iprd/covid.php#,2021-07-09,2021-07-09T13:30:23Z
R_5ALGlvyQXE6aayZFw,5097666Fw,new_entry,,,"","On March 26, the Central African Republic has enforced the closure of extracurricular schools and universities from March 26 until the next order.",2020-03-26,2020-03-26,2022-09-23,The policy has an unlimited time span (e.g. recommendation to wash one's hands; passing of a legal bill),Central African Republic,CAF,CF,National,1,,,,Closure and Regulation of Schools,Secondary Schools (generally for children ages 10 to 18),,"",,,,,,"","","","","","","","","","","",,,,"",Yes,Central African Republic,"One or more countries, but not all countries",,,,,,All Residents (Citizen Residents + Foreign Residents),,,,Mandatory with Fines,"National Government,Provincial/State Government,Municipal Government,Police,Other (Please specify in the text box)",50.6780928813907,47.4061554354532,43.6706414450243,15,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_3qJcxC0gUGeFHjl,https://www.centrafrique-presse.info/article/13913/centrafrique-des-mesures-additionnelles-edictees-par-faustin-archange-touadera-contre-le-coronavirus,2022-05-30,2022-05-30T23:59:59Z
R_5ALGlvyQXE6aayZCe,5097666Ce,new_entry,,,"","On March 26, the Central African Republic has enforced the closure of extracurricular schools and universities from March 26 until the next order.",2020-03-26,2020-03-26,2022-09-23,The policy has an unlimited time span (e.g. recommendation to wash one's hands; passing of a legal bill),Central African Republic,CAF,CF,National,1,,,,Closure and Regulation of Schools,Higher education institutions (i.e. degree granting institutions),,"",,,,,,"","","","","","","","","","","",,,,"",Yes,Central African Republic,"One or more countries, but not all countries",,,,,,All Residents (Citizen Residents + Foreign Residents),,,,Mandatory with Fines,"National Government,Provincial/State Government,Municipal Government,Police,Other (Please specify in the text box)",50.6780928813907,47.4061554354532,43.6706414450243,15,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_3qJcxC0gUGeFHjl,https://www.centrafrique-presse.info/article/13913/centrafrique-des-mesures-additionnelles-edictees-par-faustin-archange-touadera-contre-le-coronavirus,2022-05-30,2022-05-30T23:59:59Z
R_OIJ7JFG0jblHWtHEl,5701836El,new_entry,,,"","As of April 29, 2020 the government of CAR closed Schools and universities.",2020-04-29,2020-04-29,,The policy’s end date is unknown or unreported,Central African Republic,CAF,CF,National,1,,,,Closure and Regulation of Schools,Preschool or childcare facilities (generally for children ages 5 and below),,"",,,,,,"","","","","","","","","","","",,,Preschool or childcare facilities closed/locked down,"",Yes,Central African Republic,"One or more countries, but not all countries",,,,,,All Residents (Citizen Residents + Foreign Residents),No special population targeted,,,Mandatory (Unspecified/Implied),Ministry/Department of Education,59.9317374939466,56.8346096852953,53.7840032577339,19,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_3kjsa2bgWjFIE0y,https://travelbans.org/africa/central-african-republic/,2021-06-28,2021-06-28T10:11:41Z
R_OIJ7JFG0jblHWtHEm,5701836Em,new_entry,,,"","As of April 29, 2020 the government of CAR closed Schools and universities.",2020-04-29,2020-04-29,,The policy’s end date is unknown or unreported,Central African Republic,CAF,CF,National,1,,,,Closure and Regulation of Schools,Primary Schools (generally for children ages 10 and below),,"",,,,,,"","","","","","","","","","","",,,Primary Schools closed/locked down,"",Yes,Central African Republic,"One or more countries, but not all countries",,,,,,All Residents (Citizen Residents + Foreign Residents),No special population targeted,,,Mandatory (Unspecified/Implied),Ministry/Department of Education,59.9317374939466,56.8346096852953,53.7840032577339,19,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_3kjsa2bgWjFIE0y,https://travelbans.org/africa/central-african-republic/,2021-06-28,2021-06-28T10:11:41Z
R_OIJ7JFG0jblHWtHFw,5701836Fw,new_entry,,,"","As of April 29, 2020 the government of CAR closed Schools and universities.",2020-04-29,2020-04-29,,The policy’s end date is unknown or unreported,Central African Republic,CAF,CF,National,1,,,,Closure and Regulation of Schools,Secondary Schools (generally for children ages 10 to 18),,"",,,,,,"","","","","","","","","","","",,,Secondary Schools closed/locked down,"",Yes,Central African Republic,"One or more countries, but not all countries",,,,,,All Residents (Citizen Residents + Foreign Residents),No special population targeted,,,Mandatory (Unspecified/Implied),Ministry/Department of Education,59.9317374939466,56.8346096852953,53.7840032577339,19,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_3kjsa2bgWjFIE0y,https://travelbans.org/africa/central-african-republic/,2021-06-28,2021-06-28T10:11:41Z
R_OIJ7JFG0jblHWtHCe,5701836Ce,new_entry,,,"","As of April 29, 2020 the government of CAR closed Schools and universities.",2020-04-29,2020-04-29,,The policy’s end date is unknown or unreported,Central African Republic,CAF,CF,National,1,,,,Closure and Regulation of Schools,Higher education institutions (i.e. degree granting institutions),,"",,,,,,"","","","","","","","","","","",,,Higher education institutions closed/locked down,"",Yes,Central African Republic,"One or more countries, but not all countries",,,,,,All Residents (Citizen Residents + Foreign Residents),No special population targeted,,,Mandatory (Unspecified/Implied),Ministry/Department of Education,59.9317374939466,56.8346096852953,53.7840032577339,19,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_3kjsa2bgWjFIE0y,https://travelbans.org/africa/central-african-republic/,2021-06-28,2021-06-28T10:11:41Z
R_3DuP7BwIQOJMQmoFw,5097666Fw,update,Change of Policy,Relaxing,timing of policy relaxing,"On March 26, the Central African Republic has enforced the closure of extracurricular schools and universities from March 26 until the next order. UPDATE: As of July 15th 2020, schools are gradually opening with classes in an examination year restarting in July and August while other classes are planned to start in September 2020.",2020-03-26,2020-07-15,2022-09-23,The policy has an unlimited time span (e.g. recommendation to wash one's hands; passing of a legal bill),Central African Republic,CAF,CF,National,1,,,,Closure and Regulation of Schools,Secondary Schools (generally for children ages 10 to 18),,"",,,,,,"","","","","","","","","","","",,,,"",Yes,Central African Republic,"One or more countries, but not all countries",,,,,,All Residents (Citizen Residents + Foreign Residents),,,,Mandatory with Fines,"National Government,Provincial/State Government,Municipal Government,Police,Other (Please specify in the text box)",59.9909257845603,57.2024038907839,54.441529845898,63,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_3qJcxC0gUGeFHjl ; https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_3E9GzLQPrwBWAXB,NA ; https://reliefweb.int/report/central-african-republic/central-african-republic-situation-report-4-september-2020,2022-05-30,2022-05-30T23:59:59Z
R_3DuP7BwIQOJMQmoCe,5097666Ce,update,Change of Policy,Relaxing,timing of policy relaxing,"On March 26, the Central African Republic has enforced the closure of extracurricular schools and universities from March 26 until the next order. UPDATE: As of July 15th 2020, schools are gradually opening with classes in an examination year restarting in July and August while other classes are planned to start in September 2020.",2020-03-26,2020-07-15,2022-09-23,The policy has an unlimited time span (e.g. recommendation to wash one's hands; passing of a legal bill),Central African Republic,CAF,CF,National,1,,,,Closure and Regulation of Schools,Higher education institutions (i.e. degree granting institutions),,"",,,,,,"","","","","","","","","","","",,,,"",Yes,Central African Republic,"One or more countries, but not all countries",,,,,,All Residents (Citizen Residents + Foreign Residents),,,,Mandatory with Fines,"National Government,Provincial/State Government,Municipal Government,Police,Other (Please specify in the text box)",59.9909257845603,57.2024038907839,54.441529845898,63,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_3qJcxC0gUGeFHjl ; https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_3E9GzLQPrwBWAXB,NA ; https://reliefweb.int/report/central-african-republic/central-african-republic-situation-report-4-september-2020,2022-05-30,2022-05-30T23:59:59Z
R_1n1JxuO7eoki3HKAh,3011629,new_entry,,,"","On May 20, 2021 Prime Minister Firmin Ngrebada and the Minister of Health, Dr. Pierre Somse, officially launched the national vaccination campaign against Covid-19. Using AstraZeneca, The campaign will initially target 60,000 people, especially frontline health workers and elderly people with chronic diseases.",2021-05-20,2021-05-20,2021-09-17,The policy has an imprecise natural end date (e.g. masks will be distributed until they run out),Central African Republic,CAF,CF,National,0,,,,COVID-19 Vaccines,Administering of the vaccine (i.e. giving people the vaccine shot),,"Oxford University and AstraZeneca vaccine (AZD1222; also known as the Jenner Institute/University of Oxford vaccine, ChAdOx1)",This distribution policy is not about mixing and matching of different vaccines.,,,Certain populations based on demographic characteristics/epidemiological risk given preference for vaccinations,1,No information provided on how much vaccine cost to the individual,National government entity,Other vaccination location,"","","","",60,thousands,people,100,,,,"",Yes,Central African Republic,"One or more countries, but not all countries",,,,,,,"Priority Group 1: Essential medical workers,People with certain health conditions",,,Mandatory (Unspecified/Implied),Ministry/Department of Health,,,,,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_2ZHR8LMl9bH0B7U,https://peacekeeping.un.org/en/national-covid-19-vaccination-campaign-officially-launched-central-african-republic,2021-07-11,2021-07-11T08:15:47Z
R_3EzPi9wC9dZNeheGl,7188534,new_entry,,,"","On March 26, 2020, the government of the Central African Republic closed all airports indefinitely, stopping both inbound and outbound flights.",2020-03-26,2020-03-26,2020-07-13,The policy has a clear end date,Central African Republic,CAF,CF,National,0,,,,External Border Restrictions,Total border crossing ban,,"",,,,,,"","","","","","","","","","","",,,,"",No,All countries,All countries,,,,,,All (Travelers + Residents),No special population targeted,Inbound/Outbound,Flights,Mandatory (Unspecified/Implied),National Government,50.6780928813907,47.4061554354532,43.6706414450243,15,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_2wySA8wG6gReHOY,https://reliefweb.int/sites/reliefweb.int/files/resources/UNICEF%20Central%20African%20Republic%20Humanitarian%20Situation%20Report%20-%20March-April%202020.pdf ; https://reliefweb.int/report/central-african-republic/central-african-republic-situation-report-4-september-2020,2021-11-05,2021-11-05T11:39:47Z
R_YQZV4voLewx1TLHGl,3494358,new_entry,,,"","As of April 29, 2020 the government of CAR declared Suspension of all border markets between CAR and Congo along Ubangi river until further notice.",2020-04-29,2020-04-29,,The policy’s end date is unknown or unreported,Central African Republic,CAF,CF,National,0,,,,External Border Restrictions,Total border crossing ban,,"",,,,,,"","","","","","","","","","","",,,,"",No,Democratic Republic of the Congo,"One or more countries, but not all countries",,,,,,All (Travelers + Residents),No special population targeted,Inbound/Outbound,All kinds of transport,Mandatory (Unspecified/Implied),National Government,59.9317374939466,56.8346096852953,53.7840032577339,19,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_6zAd1L6qtxARvKp,https://travelbans.org/africa/central-african-republic/,2021-11-03,2021-11-03T16:30:23Z
R_2CwafTnSXiWe91xCb,7235814,new_entry,,,"","As of 2 May 2020, the Ministries of Health in the Central African Republic and Cameroon respectively are cooperating to prevent truckers with positive COVID-19 tests from entering the Central African Republic.",2020-05-02,2020-05-02,,The policy’s end date is unknown or unreported,Central African Republic,CAF,CF,National,0,,,,External Border Restrictions,Health Screenings (e.g. temperature checks),,"",,,,,,"","","","","","","","","","","",,,,"",No,Cameroon,"One or more countries, but not all countries",,,,,,Foreign Travelers,Essential workers (please note their occuption in the text entry where applicable),Inbound,Other (please specify),Mandatory (Unspecified/Implied),Ministry/Department of Health,60.6211993090551,57.2088645398014,54.2281361325988,20,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_d6eLt0mi74c9eXT,https://www.lemonde.fr/afrique/article/2020/05/02/covid-19-la-centrafrique-veut-freiner-l-importation-de-cas-depuis-le-cameroun_6038453_3212.html?fbclid=IwAR2a09QQgJmtxIt-XlW-Ek9m0-AoOis5SerZ7XP8vfOVDNPjRWmDp0go-6A,2022-05-30,2022-05-30T23:59:59Z
R_AcdMDu9Dvdze4sVCb,7722743,new_entry,,,"","As of 2 May 2020, the Ministries of Health in the Central African Republic and Cameroon respectively announced their cooperation to prevent truckers with positive COVID-19 test from entering the Central African Republic.",2020-05-02,2020-05-02,,The policy’s end date is unknown or unreported,Central African Republic,CAF,CF,National,0,,,,External Border Restrictions,Health Screenings (e.g. temperature checks),,"",,,,,,"","","","","","","","","","","",,,,"",No,Cameroon,"One or more countries, but not all countries",,,,,,Foreign Travelers,Essential workers (please note their occuption in the text entry where applicable),Inbound,Land Border,Mandatory (Unspecified/Implied),Ministry/Department of Health,60.6211993090551,57.2088645398014,54.2281361325988,20,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_1mgVPaOs4GQ7DRi,https://www.lemonde.fr/afrique/article/2020/05/02/covid-19-la-centrafrique-veut-freiner-l-importation-de-cas-depuis-le-cameroun_6038453_3212.html?fbclid=IwAR2a09QQgJmtxIt-XlW-Ek9m0-AoOis5SerZ7XP8vfOVDNPjRWmDp0go-6A,2022-05-30,2022-05-30T23:59:59Z
R_DAiaZtkn2GSpQGtGl,4466657,new_entry,,,"","On May 10, 2020 the government of CAR announced that Bangui Mpoko International Airport is closed with the exception of humanitarian flights, cargo flights or authorised special and commercial flights",2020-05-10,2020-05-10,,The policy’s end date is unknown or unreported,Central African Republic,CAF,CF,Provincial,0,Bangui,,,External Border Restrictions,Total border crossing ban,,"",,,,,,"","","","","","","","","","","",,,,"",No,All countries,All countries,,,,,,All (Travelers + Residents),No special population targeted,Inbound/Outbound,Flights,Mandatory with Exceptions (Please list exceptions in the text entry),Provincial/State Government,65.2976766135255,61.6903278661596,58.3175429702984,44,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_stlCSZ2S7qomcwN,https://travelbans.org/africa/central-african-republic/,2021-06-28,2021-06-28T09:47:14Z
R_3gYo1BtqtClwNEwGl,7969379,new_entry,,,"","On May 10, 2020 the government of CAR announced that The land borders with Democratic Republic of Congo (Zongo border crossing), Cameroon (including cargo trucks), Sudan and South Sudan remain closed until further notice. A humanitarian corridor remains opened at Zongo border crossing.",2020-05-10,2020-05-10,,The policy’s end date is unknown or unreported,Central African Republic,CAF,CF,National,0,,,,External Border Restrictions,Total border crossing ban,,"",,,,,,"","","","","","","","","","","",,,,"",No,"Cameroon,Democratic Republic of the Congo,Other (please specify below),South Sudan,Sudan","One or more countries, but not all countries",,,,,,All (Travelers + Residents),No special population targeted,Inbound/Outbound,Land Border,Mandatory (Unspecified/Implied),National Government,65.2976766135255,61.6903278661596,58.3175429702984,44,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_3lMGStWTTjZvblw,https://travelbans.org/africa/central-african-republic/,2021-11-05,2021-11-05T12:04:19Z
R_r3K5DCqEjlMR2F3Gl,865565,new_entry,,,"","On May 10, 2020, the government of CAR declared that all foreigners are denied entry in the country, except for diplomats, NGOs workers, and people coming from countries with no local transmission of COVID-19.",2020-05-10,2020-05-10,,The policy’s end date is unknown or unreported,Central African Republic,CAF,CF,National,0,,,,External Border Restrictions,Total border crossing ban,,"",,,,,,"","","","","","","","","","","",,,,"",No,All countries,All countries,,,,,,All Foreign Nationals (Foreign Residents + Foreign Travelers),No special population targeted,Inbound,All kinds of transport,Mandatory with Exceptions (Please list exceptions in the text entry),National Government,65.2976766135255,61.6903278661596,58.3175429702984,44,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_2QSeoiVs4IArWMS,https://travelbans.org/africa/central-african-republic/,2021-11-05,2021-11-05T12:16:56Z
