record_id,policy_id,entry_type,update_type,update_level,update_level_var,description,date_announced,date_start,date_end,date_end_spec,country,ISO_A3,ISO_A2,init_country_level,domestic_policy,province,ISO_L2,city,type,type_sub_cat,type_new_admin_coop,type_vac_cat,type_vac_mix,type_vac_reg,type_vac_purchase,type_vac_group,type_vac_group_rank,type_vac_who_pays,type_vac_dist_admin,type_vac_loc,type_vac_cost_num,type_vac_cost_scale,type_vac_cost_unit,type_vac_cost_gov_perc,type_vac_amt_num,type_vac_amt_scale,type_vac_amt_unit,type_vac_amt_gov_perc,type_text,institution_cat,institution_status,institution_conditions,target_init_same,target_country,target_geog_level,target_region,target_province,target_city,target_intl_org,target_other,target_who_what,target_who_gen,target_direction,travel_mechanism,compliance,enforcer,dist_index_high_est,dist_index_med_est,dist_index_low_est,dist_index_country_rank,pdf_link,link,date_updated,recorded_date
R_2ar8WSI71ZPn3gTNA,656823,new_entry,,,"","On April 1, the Mauritanian Ministery of Health created laws to punish individuals whose media statements undermine the public health efforts of the government.",2020-04-01,2020-04-01,2022-03-30,The policy has an unlimited time span (e.g. recommendation to wash one's hands; passing of a legal bill),Mauritania,MRT,MR,National,1,,,,Anti-Disinformation Measures,,,"",,,,,,"","","","","","","","","","","",,,,"",Yes,Mauritania,"One or more countries, but not all countries",,,,,,All Residents (Citizen Residents + Foreign Residents),No special population targeted,,,Mandatory (Unspecified/Implied),Ministry/Department of Health,71.2044189241812,67.058316372208,63.4364134244202,73,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_1WYMh8vlTSzuE8x,http://www.ami.mr/Depeche-62089.html,2021-08-02,2021-08-02T10:55:43Z
R_2799IjVbeo9jsCfEz,9640116Ez,new_entry,,,"","Mauritanian government has decreed "" the closure of all public and private educational establishments of all levels.""",2020-03-16,2020-03-16,,,Mauritania,MRT,MR,National,1,,,,Closure and Regulation of Schools,Preschool or childcare facilities (generally for children ages 5 and below),,"",,,,,,"","","","","","","","","","","",,,Preschool or childcare facilities closed/locked down,"",,Mauritania,,,,,,,All Residents (Citizen Residents + Foreign Residents),,,,Mandatory (Unspecified/Implied),National Government,40.8173474662985,36.7705427953114,31.8862268894962,29,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_2aqqK4XIZ8kipUp,http://www.lecalame.info/?q=node/9996,2020-04-05,2020-04-05T11:34:48Z
R_2799IjVbeo9jsCfFb,9640116Fb,new_entry,,,"","Mauritanian government has decreed "" the closure of all public and private educational establishments of all levels.""",2020-03-16,2020-03-16,,,Mauritania,MRT,MR,National,1,,,,Closure and Regulation of Schools,Primary Schools (generally for children ages 10 and below),,"",,,,,,"","","","","","","","","","","",,,Primary Schools closed/locked down,"",,Mauritania,,,,,,,All Residents (Citizen Residents + Foreign Residents),,,,Mandatory (Unspecified/Implied),National Government,40.8173474662985,36.7705427953114,31.8862268894962,29,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_2aqqK4XIZ8kipUp,http://www.lecalame.info/?q=node/9996,2020-04-05,2020-04-05T11:34:48Z
R_2799IjVbeo9jsCfGl,9640116Gl,new_entry,,,"","Mauritanian government has decreed "" the closure of all public and private educational establishments of all levels.""",2020-03-16,2020-03-16,,,Mauritania,MRT,MR,National,1,,,,Closure and Regulation of Schools,Secondary Schools (generally for children ages 10 to 18),,"",,,,,,"","","","","","","","","","","",,,Secondary Schools closed/locked down,"",,Mauritania,,,,,,,All Residents (Citizen Residents + Foreign Residents),,,,Mandatory (Unspecified/Implied),National Government,40.8173474662985,36.7705427953114,31.8862268894962,29,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_2aqqK4XIZ8kipUp,http://www.lecalame.info/?q=node/9996,2020-04-05,2020-04-05T11:34:48Z
R_2799IjVbeo9jsCfCr,9640116Cr,new_entry,,,"","Mauritanian government has decreed "" the closure of all public and private educational establishments of all levels.""",2020-03-16,2020-03-16,,,Mauritania,MRT,MR,National,1,,,,Closure and Regulation of Schools,Higher education institutions (i.e. degree granting institutions),,"",,,,,,"","","","","","","","","","","",,,Higher education institutions closed/locked down,"",,Mauritania,,,,,,,All Residents (Citizen Residents + Foreign Residents),,,,Mandatory (Unspecified/Implied),National Government,40.8173474662985,36.7705427953114,31.8862268894962,29,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_2aqqK4XIZ8kipUp,http://www.lecalame.info/?q=node/9996,2020-04-05,2020-04-05T11:34:48Z
R_1DRTgaALNjKqguqEz,9640116Ez,update,End of Policy,,"","Mauritanian government has decreed "" the closure of all public and private educational establishments of all levels."" UPDATE: The school year resumed on September 1.",2020-03-16,2020-03-16,2020-09-01,The policy has a clear end date,Mauritania,MRT,MR,National,1,,,,Closure and Regulation of Schools,Preschool or childcare facilities (generally for children ages 5 and below),,"",,,,,,"","","","","","","","","","","",,,,"",,Mauritania,,,,,,,All Residents (Citizen Residents + Foreign Residents),,,,Mandatory (Unspecified/Implied),National Government,40.8173474662985,36.7705427953114,31.8862268894962,29,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_2aqqK4XIZ8kipUp ; https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_1o7NzffICpxIkt3,NA ; http://www.ami.mr/Depeche-63987.html,2021-01-21,2021-01-21T18:37:25Z
R_1DRTgaALNjKqguqFb,9640116Fb,update,End of Policy,,"","Mauritanian government has decreed "" the closure of all public and private educational establishments of all levels."" UPDATE: The school year resumed on September 1.",2020-03-16,2020-03-16,2020-09-01,The policy has a clear end date,Mauritania,MRT,MR,National,1,,,,Closure and Regulation of Schools,Primary Schools (generally for children ages 10 and below),,"",,,,,,"","","","","","","","","","","",,,,"",,Mauritania,,,,,,,All Residents (Citizen Residents + Foreign Residents),,,,Mandatory (Unspecified/Implied),National Government,40.8173474662985,36.7705427953114,31.8862268894962,29,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_2aqqK4XIZ8kipUp ; https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_1o7NzffICpxIkt3,NA ; http://www.ami.mr/Depeche-63987.html,2021-01-21,2021-01-21T18:37:25Z
R_1DRTgaALNjKqguqGl,9640116Gl,update,End of Policy,,"","Mauritanian government has decreed "" the closure of all public and private educational establishments of all levels."" UPDATE: The school year resumed on September 1.",2020-03-16,2020-03-16,2020-09-01,The policy has a clear end date,Mauritania,MRT,MR,National,1,,,,Closure and Regulation of Schools,Secondary Schools (generally for children ages 10 to 18),,"",,,,,,"","","","","","","","","","","",,,,"",,Mauritania,,,,,,,All Residents (Citizen Residents + Foreign Residents),,,,Mandatory (Unspecified/Implied),National Government,40.8173474662985,36.7705427953114,31.8862268894962,29,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_2aqqK4XIZ8kipUp ; https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_1o7NzffICpxIkt3,NA ; http://www.ami.mr/Depeche-63987.html,2021-01-21,2021-01-21T18:37:25Z
R_1DRTgaALNjKqguqCr,9640116Cr,update,End of Policy,,"","Mauritanian government has decreed "" the closure of all public and private educational establishments of all levels."" UPDATE: The school year resumed on September 1.",2020-03-16,2020-03-16,2020-09-01,The policy has a clear end date,Mauritania,MRT,MR,National,1,,,,Closure and Regulation of Schools,Higher education institutions (i.e. degree granting institutions),,"",,,,,,"","","","","","","","","","","",,,,"",,Mauritania,,,,,,,All Residents (Citizen Residents + Foreign Residents),,,,Mandatory (Unspecified/Implied),National Government,40.8173474662985,36.7705427953114,31.8862268894962,29,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_2aqqK4XIZ8kipUp ; https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_1o7NzffICpxIkt3,NA ; http://www.ami.mr/Depeche-63987.html,2021-01-21,2021-01-21T18:37:25Z
R_3meig9qqvNNj73sGl,5157060Gl,new_entry,,,"","On April 2, the Mauritanian Ministry of Basic Education and Secondary Education closed all public and private institutions for secondary education and technical and vocational training until April 30th.",2020-04-02,2020-04-02,2020-04-30,The policy has a clear end date,Mauritania,MRT,MR,National,1,,,,Closure and Regulation of Schools,Secondary Schools (generally for children ages 10 to 18),,"",,,,,,"","","","","","","","","","","",,,Secondary Schools closed/locked down,"",Yes,Mauritania,"One or more countries, but not all countries",,,,,,All Residents (Citizen Residents + Foreign Residents),No special population targeted,,,Mandatory (Unspecified/Implied),Ministry/Department of Education,70.9156194312314,67.3561023493079,63.7583698206068,73,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_2UXkU6nBoy6CoHi,http://www.ami.mr/Depeche-62115.html,2020-12-01,2020-12-01T23:18:10Z
R_1nOCsZjahbz1JeUFb,5024880Fb,new_entry,,,"","On December 2nd, the Mauritanian Minister of Interior and Decentralization announced that schools would be closed for a ten-day period starting on December 4th.",2020-12-02,2020-12-04,2020-12-14,The policy has a clear end date,Mauritania,MRT,MR,National,1,,,,Closure and Regulation of Schools,Primary Schools (generally for children ages 10 and below),,"",,,,,,"","","","","","","","","","","",,,Primary Schools closed/locked down,"",Yes,Mauritania,"One or more countries, but not all countries",,,,,,All Residents (Citizen Residents + Foreign Residents),No special population targeted,,,Mandatory (Unspecified/Implied),Other (Please specify in the text box),52.8928224134328,48.96311414374,45.1731065148339,26,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_3fqr8CtTKaZqLeK,http://www.ami.mr/Depeche-65413.html,2021-01-22,2021-01-22T00:54:25Z
R_1nOCsZjahbz1JeUGl,5024880Gl,new_entry,,,"","On December 2nd, the Mauritanian Minister of Interior and Decentralization announced that schools would be closed for a ten-day period starting on December 4th.",2020-12-02,2020-12-04,2020-12-14,The policy has a clear end date,Mauritania,MRT,MR,National,1,,,,Closure and Regulation of Schools,Secondary Schools (generally for children ages 10 to 18),,"",,,,,,"","","","","","","","","","","",,,Secondary Schools closed/locked down,"",Yes,Mauritania,"One or more countries, but not all countries",,,,,,All Residents (Citizen Residents + Foreign Residents),No special population targeted,,,Mandatory (Unspecified/Implied),Other (Please specify in the text box),52.8928224134328,48.96311414374,45.1731065148339,26,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_3fqr8CtTKaZqLeK,http://www.ami.mr/Depeche-65413.html,2021-01-22,2021-01-22T00:54:25Z
R_3k1ck97umxKS37YFb,8086742Fb,new_entry,,,"","On December 11th, the Mauritanian COVID-19 Ministerial committee announced that school closures would be extended to January 4th.",2020-12-11,2020-12-11,2021-01-04,The policy has a clear end date,Mauritania,MRT,MR,National,1,,,,Closure and Regulation of Schools,Primary Schools (generally for children ages 10 and below),,"",,,,,,"","","","","","","","","","","",,,Primary Schools closed/locked down,"",Yes,Mauritania,"One or more countries, but not all countries",,,,,,All Residents (Citizen Residents + Foreign Residents),No special population targeted,,,Mandatory (Unspecified/Implied),National Government,54.2087109422153,50.3375358695799,46.506238912733,29,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_AtBwGeGfmWQp0lz,http://www.ami.mr/Depeche-65546.html,2021-01-22,2021-01-22T02:10:30Z
R_3k1ck97umxKS37YGl,8086742Gl,new_entry,,,"","On December 11th, the Mauritanian COVID-19 Ministerial committee announced that school closures would be extended to January 4th.",2020-12-11,2020-12-11,2021-01-04,The policy has a clear end date,Mauritania,MRT,MR,National,1,,,,Closure and Regulation of Schools,Secondary Schools (generally for children ages 10 to 18),,"",,,,,,"","","","","","","","","","","",,,Secondary Schools closed/locked down,"",Yes,Mauritania,"One or more countries, but not all countries",,,,,,All Residents (Citizen Residents + Foreign Residents),No special population targeted,,,Mandatory (Unspecified/Implied),National Government,54.2087109422153,50.3375358695799,46.506238912733,29,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_AtBwGeGfmWQp0lz,http://www.ami.mr/Depeche-65546.html,2021-01-22,2021-01-22T02:10:30Z
R_3k1ck97umxKS37YCr,8086742Cr,new_entry,,,"","On December 11th, the Mauritanian COVID-19 Ministerial committee announced that school closures would be extended to January 4th.",2020-12-11,2020-12-11,2021-01-04,The policy has a clear end date,Mauritania,MRT,MR,National,1,,,,Closure and Regulation of Schools,Higher education institutions (i.e. degree granting institutions),,"",,,,,,"","","","","","","","","","","",,,Higher education institutions closed/locked down,"",Yes,Mauritania,"One or more countries, but not all countries",,,,,,All Residents (Citizen Residents + Foreign Residents),No special population targeted,,,Mandatory (Unspecified/Implied),National Government,54.2087109422153,50.3375358695799,46.506238912733,29,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_AtBwGeGfmWQp0lz,http://www.ami.mr/Depeche-65546.html,2021-01-22,2021-01-22T02:10:30Z
