record_id,policy_id,entry_type,update_type,update_level,update_level_var,description,date_announced,date_start,date_end,date_end_spec,country,ISO_A3,ISO_A2,init_country_level,domestic_policy,province,ISO_L2,city,type,type_sub_cat,type_new_admin_coop,type_vac_cat,type_vac_mix,type_vac_reg,type_vac_purchase,type_vac_group,type_vac_group_rank,type_vac_who_pays,type_vac_dist_admin,type_vac_loc,type_vac_cost_num,type_vac_cost_scale,type_vac_cost_unit,type_vac_cost_gov_perc,type_vac_amt_num,type_vac_amt_scale,type_vac_amt_unit,type_vac_amt_gov_perc,type_text,institution_cat,institution_status,institution_conditions,target_init_same,target_country,target_geog_level,target_region,target_province,target_city,target_intl_org,target_other,target_who_what,target_who_gen,target_direction,travel_mechanism,compliance,enforcer,dist_index_high_est,dist_index_med_est,dist_index_low_est,dist_index_country_rank,pdf_link,link,date_updated,recorded_date
R_3EngnOGQ2BjGq27NA,7032428,new_entry,,,"","Benin rectifies rumors about closing corn mills in the country as a result of the pandemic on April 19, 2020",2020-04-19,2020-04-19,,,Benin,BEN,BJ,National,1,,,,Anti-Disinformation Measures,,,"",,,,,,"","","","","","","","","","","",,,,"",,Benin,,,,,,,All Residents (Citizen Residents + Foreign Residents),,,,Mandatory (Unspecified/Implied),"National Government,Other (Please specify in the text box)",71.5436406419809,68.0000663342326,64.7138892366313,57,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_33qfBZaZCcBYtsZ,https://www.gouv.bj/actualite/616/coronavirus---communique-ministre-interieur-relatif-fermeture-moulins/,2020-05-07,2020-05-07T13:45:50Z
R_2YLHYVWzMstWuu3Em,8704753Em,new_entry,,,"","On March 23, 2020, Benin fixes the Easter holiday period for all public and private schools and universities for Monday 30 March to Monday 13 April 2020",2020-03-23,2020-03-30,2020-04-14,The policy has a clear end date,Benin,BEN,BJ,National,1,,,,Closure and Regulation of Schools,Primary Schools (generally for children ages 10 and below),,"",,,,,,"","","","","","","","","","","",,,Primary Schools closed/locked down,"",,Benin,,,,,,,All Residents (Citizen Residents + Foreign Residents),,,,Mandatory (Unspecified/Implied),"National Government,Provincial/State Government,Municipal Government",61.356235936419,57.934928137533,54.8561029967814,29,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_BAfvHdXM2h7iwff ; https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_3jTop0LAWO6Q9vW,NA ; https://www.gouv.bj/actualite/567/coronavirus---communique-gouvernement-propos-deux-nouvelles-mesures-prises/,2020-05-13,2020-05-13T09:15:06Z
R_2YLHYVWzMstWuu3Fw,8704753Fw,new_entry,,,"","On March 23, 2020, Benin fixes the Easter holiday period for all public and private schools and universities for Monday 30 March to Monday 13 April 2020",2020-03-23,2020-03-30,2020-04-14,The policy has a clear end date,Benin,BEN,BJ,National,1,,,,Closure and Regulation of Schools,Secondary Schools (generally for children ages 10 to 18),,"",,,,,,"","","","","","","","","","","",,,Secondary Schools closed/locked down,"",,Benin,,,,,,,All Residents (Citizen Residents + Foreign Residents),,,,Mandatory (Unspecified/Implied),"National Government,Provincial/State Government,Municipal Government",61.356235936419,57.934928137533,54.8561029967814,29,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_BAfvHdXM2h7iwff ; https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_3jTop0LAWO6Q9vW,NA ; https://www.gouv.bj/actualite/567/coronavirus---communique-gouvernement-propos-deux-nouvelles-mesures-prises/,2020-05-13,2020-05-13T09:15:06Z
R_2YLHYVWzMstWuu3Ce,8704753Ce,new_entry,,,"","On March 23, 2020, Benin fixes the Easter holiday period for all public and private schools and universities for Monday 30 March to Monday 13 April 2020",2020-03-23,2020-03-30,2020-04-14,The policy has a clear end date,Benin,BEN,BJ,National,1,,,,Closure and Regulation of Schools,Higher education institutions (i.e. degree granting institutions),,"",,,,,,"","","","","","","","","","","",,,Higher education institutions closed/locked down,"",,Benin,,,,,,,All Residents (Citizen Residents + Foreign Residents),,,,Mandatory (Unspecified/Implied),"National Government,Provincial/State Government,Municipal Government",61.356235936419,57.934928137533,54.8561029967814,29,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_BAfvHdXM2h7iwff ; https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_3jTop0LAWO6Q9vW,NA ; https://www.gouv.bj/actualite/567/coronavirus---communique-gouvernement-propos-deux-nouvelles-mesures-prises/,2020-05-13,2020-05-13T09:15:06Z
R_3e32z3xmoC2vG7mEm,8704753Em,update,Change of Policy,Strengthening,timing of policy strengthening,"On March 23, 2020, Benin fixes the Easter holiday period for all public and private schools and universities for Monday 30 March to Monday 13 April 2020.
On April 13, 2020, the closure of schools and universities gets extended to  May 10, 2020. UPDATE: Benin fixed the Easter holiday period for all public and private schools and universities for Monday 30 March to Monday 13 April 2020. The school closure got extended to May 10, 2020.",2020-04-13,2020-04-13,2020-05-10,The policy has a clear end date,Benin,BEN,BJ,National,1,,,,Closure and Regulation of Schools,Primary Schools (generally for children ages 10 and below),,"",,,,,,"","","","","","","","","","","",,,Primary Schools closed/locked down,"",,Benin,,,,,,,All Residents (Citizen Residents + Foreign Residents),,,,Mandatory (Unspecified/Implied),"National Government,Provincial/State Government,Municipal Government",71.1218836819492,67.8377065015089,64.5549870378477,60,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_BAfvHdXM2h7iwff ; https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_2BereeGN3mMq8X0,NA ; http://levenementprecis.com/2020/04/13/alain-orounla-a-propos-de-la-gestion-de-la-pandemie-le-benin-nest-pas-un-foyer-de-contagion-au-covid-19/,2020-05-13,2020-05-13T10:02:36Z
R_3e32z3xmoC2vG7mFw,8704753Fw,update,Change of Policy,Strengthening,timing of policy strengthening,"On March 23, 2020, Benin fixes the Easter holiday period for all public and private schools and universities for Monday 30 March to Monday 13 April 2020.
On April 13, 2020, the closure of schools and universities gets extended to  May 10, 2020. UPDATE: Benin fixed the Easter holiday period for all public and private schools and universities for Monday 30 March to Monday 13 April 2020. The school closure got extended to May 10, 2020.",2020-04-13,2020-04-13,2020-05-10,The policy has a clear end date,Benin,BEN,BJ,National,1,,,,Closure and Regulation of Schools,Secondary Schools (generally for children ages 10 to 18),,"",,,,,,"","","","","","","","","","","",,,Secondary Schools closed/locked down,"",,Benin,,,,,,,All Residents (Citizen Residents + Foreign Residents),,,,Mandatory (Unspecified/Implied),"National Government,Provincial/State Government,Municipal Government",71.1218836819492,67.8377065015089,64.5549870378477,60,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_BAfvHdXM2h7iwff ; https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_2BereeGN3mMq8X0,NA ; http://levenementprecis.com/2020/04/13/alain-orounla-a-propos-de-la-gestion-de-la-pandemie-le-benin-nest-pas-un-foyer-de-contagion-au-covid-19/,2020-05-13,2020-05-13T10:02:36Z
R_3e32z3xmoC2vG7mCe,8704753Ce,update,Change of Policy,Strengthening,timing of policy strengthening,"On March 23, 2020, Benin fixes the Easter holiday period for all public and private schools and universities for Monday 30 March to Monday 13 April 2020.
On April 13, 2020, the closure of schools and universities gets extended to  May 10, 2020. UPDATE: Benin fixed the Easter holiday period for all public and private schools and universities for Monday 30 March to Monday 13 April 2020. The school closure got extended to May 10, 2020.",2020-04-13,2020-04-13,2020-05-10,The policy has a clear end date,Benin,BEN,BJ,National,1,,,,Closure and Regulation of Schools,Higher education institutions (i.e. degree granting institutions),,"",,,,,,"","","","","","","","","","","",,,Higher education institutions closed/locked down,"",,Benin,,,,,,,All Residents (Citizen Residents + Foreign Residents),,,,Mandatory (Unspecified/Implied),"National Government,Provincial/State Government,Municipal Government",71.1218836819492,67.8377065015089,64.5549870378477,60,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_BAfvHdXM2h7iwff ; https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_2BereeGN3mMq8X0,NA ; http://levenementprecis.com/2020/04/13/alain-orounla-a-propos-de-la-gestion-de-la-pandemie-le-benin-nest-pas-un-foyer-de-contagion-au-covid-19/,2020-05-13,2020-05-13T10:02:36Z
R_31tNMLwMcMUvqaBEl,5247281El,new_entry,,,"",Benin announces a closure of crèches and day-care centres from Tuesday 14 April to Sunday 10 May 2020,2020-04-10,2020-04-14,2020-05-10,The policy has a clear end date,Benin,BEN,BJ,National,1,,,,Closure and Regulation of Schools,Preschool or childcare facilities (generally for children ages 5 and below),,"",,,,,,"","","","","","","","","","","",,,Preschool or childcare facilities closed/locked down,"",,Benin,,,,,,,All Residents (Citizen Residents + Foreign Residents),,,,Mandatory (Unspecified/Implied),"National Government,Other (Please specify in the text box)",71.2307539626151,67.862815776965,64.8332797447728,59,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_12rsf3kMKoLfH1z,https://www.gouv.bj/actualite/594/coronavirus---fermeture-creches-garderies-jusqu-10-2020/,2020-04-25,2020-04-25T20:31:58Z
R_3iUVk5BfKHdy9XrEx,3099657,new_entry,,,"","On March, 10th 2021, Benin, as a participant to COVAX alliance, received 144,000 units of the AstraZeneca/Oxford vaccines.",2021-03-10,2021-03-10,,The policy has an imprecise natural end date (e.g. masks will be distributed until they run out),Benin,BEN,BJ,National,0,,,,COVID-19 Vaccines,Purchase of COVID-19 vaccines,,"Oxford University and AstraZeneca vaccine (AZD1222; also known as the Jenner Institute/University of Oxford vaccine, ChAdOx1)",,,Regular order of vaccines,,,"","","","","","","",144,thousands,doses,0,,,,"",Yes,Benin,"One or more countries, but not all countries",,,,,,,No special population targeted,,,Voluntary/Recommended but No Penalties,"National Government,Ministry/Department of Health",,,,,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_1drTQZJeqL4DLhR,https://www.gouv.bj/actualite/1208/,2021-03-16,2021-03-16T07:41:28Z
R_1OPIfxR9O1Noa98Ex,1030548,new_entry,,,"","On March, 21st 2021, Benin received 203,000 units of the Chinese Coronac vaccine produced by Sinovac, of which 100,000 were offered by China.",2021-03-22,2021-03-22,2021-03-23,The policy is a one-time measure (e.g. publication of guidelines),Benin,BEN,BJ,National,0,,,,COVID-19 Vaccines,Purchase of COVID-19 vaccines,,Sinovac vaccine (CoronaVac),,,Regular order of vaccines,,,"","","","","","","",203,thousands,doses,"",,,,"",Yes,Benin,"One or more countries, but not all countries",,,,,,,No special population targeted,,,Voluntary/Recommended but No Penalties,Ministry/Department of Health,,,,,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_Qnboger2UjDbemJ,https://www.gouv.bj/actualite/1226/lutte-contre-pandemie-coronavirus--covid-19-benin-recu-203.000-doses-vaccins-chine/,2021-04-16,2021-04-16T07:57:02Z
R_1jSW1YFSjvZQqUzAi,8348420,new_entry,,,"","On March, 29th 2021, Benin announced that its national vaccination campaign will start on April 1st. 78 vaccination centers will be open. During the first phase of the campaign, vulnerable people will be vaccinated in priority. Vulnerable people are identified by the government of Benin as: health workers, citizens over 60, individuals with conditions that put them at higher risk (diabetes, asthma, arterial hypertension, sickle-cell anaemia).",2021-03-29,2021-04-01,2021-07-30,The policy has an imprecise natural end date (e.g. masks will be distributed until they run out),Benin,BEN,BJ,National,0,,,,COVID-19 Vaccines,Administering of the vaccine (i.e. giving people the vaccine shot),,"Oxford University and AstraZeneca vaccine (AZD1222; also known as the Jenner Institute/University of Oxford vaccine, ChAdOx1)",This distribution policy is not about mixing and matching of different vaccines.,,,Certain populations based on demographic characteristics/epidemiological risk given preference for vaccinations,3,Vaccine is free for the individual,National government entity,"Special/Temporary COVID-19 vaccination centers,Hospitals","","","","","","","","",,,,"",Yes,Benin,"One or more countries, but not all countries",,,,,,,Priority Group 1: Essential medical workers; Priority Group 2: People of a certain age; Priority Group 3: People with certain health conditions,,,Voluntary/Recommended but No Penalties,"National Government,Ministry/Department of Health",,,,,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_3fAxlFuIYBGU10w,https://www.gouv.bj/actualite/1228/lutte-contre-pandemie-coronavirus--covid-19-campagne-nationale-vaccination-officiellement-lancee/,2021-04-06,2021-04-06T08:16:48Z
R_2OZTjisSNObcRhuGx,6282739,new_entry,,,"","As of March 17, 2020, Benin restricts the issuance of visas",2020-03-18,2020-03-17,,,Benin,BEN,BJ,National,0,,,,External Border Restrictions,Visa restrictions (e.g. suspend issuance of visa),,"",,,,,,"","","","","","","","","","","",,,,"",No,,All countries,,,,,,Foreign Travelers,,Inbound,,Mandatory (Unspecified/Implied),"National Government,Police,Other (Please specify in the text box)",41.9131924606672,38.2407638130735,34.3667917495715,25,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_yDtwWnuIkhZxvCp,https://www.gouv.bj/actualite/556/coronavirus-les-11-mesures-prises-par-le-conseil-extraordinaire-des-ministres-au-benin/,2020-04-03,2020-04-03T12:52:07Z
R_2wt3G0trTRhJ7NTGl,5558861,new_entry,,,"","As of March 17, 2020, Benin suspends all preparations for the pilgrimage to Mecca in line with the arrangements made by the Saudi authorities (external border restriction)",2020-03-18,2020-03-17,,,Benin,BEN,BJ,National,0,,,,External Border Restrictions,Total border crossing ban,,"",,,,,,"","","","","","","","","","","",,,,"",No,Saudi Arabia,"One or more countries, but not all countries",,,,,,Citizen Travelers,,Outbound,All kinds of transport,Mandatory (Unspecified/Implied),National Government,41.9131924606672,38.2407638130735,34.3667917495715,25,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_3pfHA4lK8MZvvxe,https://www.gouv.bj/actualite/556/coronavirus-les-11-mesures-prises-par-le-conseil-extraordinaire-des-ministres-au-benin/,2020-04-03,2020-04-03T14:06:27Z
R_3g5yqbUmvOMrKOCGl,7138200,new_entry,,,"","On March 17, 2020, Benin limits entry and exit to extreme necessity at its land borders and only allows essential crossings in collaboration with neighboring countries Burkina Faso, Niger, Togo and Nigeria",2020-03-18,2020-03-17,,,Benin,BEN,BJ,National,0,,,,External Border Restrictions,Total border crossing ban,,"",,,,,,"","","","","","","","","","","",,,,"",No,"Burkina Faso,Niger,Nigeria,Togo","One or more countries, but not all countries",,,,,,All Travelers (Citizen Travelers + Foreign Travelers ),,Inbound/Outbound,Land Border,Mandatory with Exceptions (Please list exceptions in the text entry),"National Government,Police,Other (Please specify in the text box)",41.9131924606672,38.2407638130735,34.3667917495715,25,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_RETd7mRQb6vMR0J,https://www.gouv.bj/actualite/556/coronavirus-les-11-mesures-prises-par-le-conseil-extraordinaire-des-ministres-au-benin/,2020-08-10,2020-08-10T08:16:11Z
R_33vC9YRJVsi5fZyGl,723356,new_entry,,,"","As of March 17, 2020, Benin suspends all foreign assignments for members of the government and senior public administration officials, except in cases of absolute urgency. The private sector should observe the same caution.",2020-03-18,2020-03-17,,,Benin,BEN,BJ,National,0,,,,External Border Restrictions,Total border crossing ban,,"",,,,,,"","","","","","","","","","","",,,,"",No,All countries,All countries,,,,,,Other,,Outbound,All kinds of transport,Mandatory (Unspecified/Implied),National Government,41.9131924606672,38.2407638130735,34.3667917495715,25,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_3GlaIPOJmxZiTfS,https://www.gouv.bj/actualite/556/coronavirus-les-11-mesures-prises-par-le-conseil-extraordinaire-des-ministres-au-benin/,2021-11-02,2021-11-02T15:48:11Z
R_1CBFYWuHofoxEFONA,1718424,new_entry,,,"","On February 21, 2020, Benin urges tourism operators to provide extra rooms to isolate potentially sick travelers showing suspicious symptoms and provides health hotline to report these cases",2020-02-22,2020-02-21,,The policy’s end date is unknown or unreported,Benin,BEN,BJ,National,0,,,,Health Monitoring,,,"",,,,,,"","","","","","","","","","","",,,,"",No,Benin,"One or more countries, but not all countries",,,,,,Other,,Inbound,Not Applicable,Mandatory (Unspecified/Implied),"National Government,Ministry/Department of Health,Provincial/State Government,Municipal Government,Other (Please specify in the text box)",23.1189132723803,17.669054839814,13.6720240314981,60,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_1M3Tjsdp713P4PS,https://www.gouv.bj/actualite/515/prevention-contre-coronavirus-les-promoteurs-touristiques-et-hoteliers-sapproprient-le-dispositif-de-riposte/,2022-04-22,2022-04-22T22:40:15Z
R_10HqB828FmK6YKNNA,1969623,new_entry,,,"","On March 3, 2020, Benin urges anyone who is aware of cases of people returning home from countries at risk to report it immediately by calling a hotline (health monitoring)
",2020-03-03,2020-03-03,,The policy’s end date is unknown or unreported,Benin,BEN,BJ,National,0,,,,Health Monitoring,,,"",,,,,,"","","","","","","","","","","",,,,"",No,Benin,"One or more countries, but not all countries",,,,,,All Residents (Citizen Residents +Foreign Residents),,Inbound,Not Applicable,Voluntary/Recommended but No Penalties,"National Government,Ministry/Department of Health",27.3174984863618,22.479091813488,18.0698481430569,46,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_suvWMZPQVNKUR5D,https://www.gouv.bj/actualite/531/coronavirus-communique-du-ministre-de-la-sante/,2022-04-22,2022-04-22T22:43:29Z
R_31sznF9dshQ6ucONA,7170128,new_entry,,,"","On March 3, 2020, Benin urges all persons from countries affected by the coronavirus infection who arrive by air, sea or land to call a phone number to identify themselves",2020-03-03,2020-03-03,,The policy’s end date is unknown or unreported,Benin,BEN,BJ,National,0,,,,Health Monitoring,,,"",,,,,,"","","","","","","","","","","",,,,"",No,"Argentina,Australia,Canada,Chile,China,Ecuador,France,Germany,Iran,Ireland,Italy,Liechtenstein,Malaysia,Other (please specify below),San Marino,Singapore,South Korea,Spain,Sweden,Ukraine,United Kingdom,United States","One or more countries, but not all countries",,,,,,All (Travelers + Residents),,Inbound,All kinds of transport,Voluntary/Recommended but No Penalties,"National Government,Ministry/Department of Health",27.3174984863618,22.479091813488,18.0698481430569,46,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_1flzObhLx8BJ5Fp,https://www.gouv.bj/actualite/531/coronavirus-communique-du-ministre-de-la-sante/,2022-04-22,2022-04-22T22:48:13Z
R_3n0IxTrpiNiqjhxNA,4222571,new_entry,,,"","On April 20, 2020, Benin decides to proceed with the systematic screening of communities at risk, in particular, medical and paramedical personnel, personnel of the security and defence forces, and in the penal system. Tests would also be available to those with a prescription.",2020-04-20,2020-04-27,,,Benin,BEN,BJ,National,0,,,,Health Monitoring,,,"",,,,,,"","","","","","","","","","","",,,,"",Yes,Benin,"One or more countries, but not all countries",,,,,,,,,,Mandatory (Unspecified/Implied),"National Government,Ministry/Department of Health",70.9608281637023,67.7439502050864,64.6538523632195,60,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_3HHxSRlGKyOKPx1,https://www.gouv.bj/actualite/618/coronavirus-gouvernement-subventionne-chloroquine-profit-populations/,2020-05-07,2020-05-07T14:20:27Z
