record_id,policy_id,entry_type,update_type,update_level,update_level_var,description,date_announced,date_start,date_end,date_end_spec,country,ISO_A3,ISO_A2,init_country_level,domestic_policy,province,ISO_L2,city,type,type_sub_cat,type_new_admin_coop,type_vac_cat,type_vac_mix,type_vac_reg,type_vac_purchase,type_vac_group,type_vac_group_rank,type_vac_who_pays,type_vac_dist_admin,type_vac_loc,type_vac_cost_num,type_vac_cost_scale,type_vac_cost_unit,type_vac_cost_gov_perc,type_vac_amt_num,type_vac_amt_scale,type_vac_amt_unit,type_vac_amt_gov_perc,type_text,institution_cat,institution_status,institution_conditions,target_init_same,target_country,target_geog_level,target_region,target_province,target_city,target_intl_org,target_other,target_who_what,target_who_gen,target_direction,travel_mechanism,compliance,enforcer,pdf_link,link,collab,collab_id,date_updated,recorded_date,confirmed_cases,deaths,recovered,new_tests,total_tests,total_tests_per_thousand,tests_units,total_vaccinations,daily_vaccinations,total_vaccinations_per_hundred,daily_vaccinations_per_million,Rank_FP,Score_FP,muni_IDC,dispersive_IDC,constraining_IDC,sfi_SFI,ti_cpi_TI,pop_WDI_PW,gdp_WDI_PW,growth_WDI_PW,lnpop_WDI_PW,lngdp_WDI_PW,disap_FA,polpris_FA,latentmean_FA,transparencyindex_HR,EmigrantStock_EMS
R_1Cmfk8IRKnJoUaLNA,9466982,new_entry,,,"","The UAE imposed a 20,000 AED fine for publishing or spreading false, misleading or unapproved health information with regards to the COVID-19 crisis, on April 18th.",2020-04-18,2020-04-18,,,United Arab Emirates,ARE,AE,National,1,,,,Anti-Disinformation Measures,,,"",,,,,,"","","","","","","","","","","",,,,"",Yes,United Arab Emirates,"One or more countries, but not all countries",,,,,,All Residents (Citizen Residents + Foreign Residents),No special population targeted,,,Mandatory with Fines,"National Government,Ministry/Department of Health",https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_3NPAh47dMRvsexh,https://www.khaleejtimes.com/coronavirus-pandemic/dh20000-fine-for-circulating-fake-health-news-in-uae-,CoronaNet (original),,2020-07-16,2020-07-16T14:49:08Z,6302,37,1188,21806,837806,89.46,,,,,,131,42.6,0,0.572138249874115,-1.49370527267456,4,70,9630959,392774042462.674,1.72634934292543,16.0804933634474,26.6965003278996,2,1,1.56278056327581,-0.889216676250828,8587256
R_3oAfcaXcbe2cDvjEq,5588396Eq,new_entry,,,"","All nurseries in the UAE have been shut since March 1, a day after the Ministry of Education issued a directive to this effect over concerns of the COVID-19 outbreak.",2020-03-01,2020-03-01,2020-03-29,The policy has a clear end date,United Arab Emirates,ARE,AE,National,1,,,,Closure and Regulation of Schools,Preschool or childcare facilities (generally for children ages 5 and below),,"",,,,,,"","","","","","","","","","","",,,Preschool or childcare facilities closed/locked down,"",Yes,United Arab Emirates,"One or more countries, but not all countries",,,,,,All Residents (Citizen Residents + Foreign Residents),People of a certain age (please note age range in the text entry),,,Mandatory (Unspecified/Implied),"National Government,Ministry/Department of Health",https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_1ClkxaZhyHHjrMR,https://gulfnews.com/uae/coronavirus-uae-nurseries-in-a-tight-spot-as-students-dont-pay-fees-1.70420359,OxCGRT,,2022-01-28,2022-01-28T13:36:48Z,21,0,5,,,,,,,,,131,42.6,0,0.572138249874115,-1.49370527267456,4,70,9630959,392774042462.674,1.72634934292543,16.0804933634474,26.6965003278996,2,1,1.56278056327581,-0.889216676250828,8587256
R_1HizdfaHFVzX0wAEq,5187042Eq,new_entry,,,"","The UAE closed all schools and universities, starting on March 8, 2020, for a period of 4 weeks. During these 4 weeks, the schools will undergo a deep clean. The first 2 weeks are meant to be spring break, while the remaining two weeks will continue with online classes. This also restricts all trips, and extra-curricular activities.",2020-03-04,2020-03-08,2020-04-05,The policy has a clear end date,United Arab Emirates,ARE,AE,National,1,,,,Closure and Regulation of Schools,Preschool or childcare facilities (generally for children ages 5 and below),,"",,,,,,"","","","","","","","","","","",,,Preschool or childcare facilities closed/locked down,"",,United Arab Emirates,,,,,,,All Residents (Citizen Residents + Foreign Residents),,,,Mandatory with Legal Penalties (Jail Time),Other (Please specify in the text box),https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_2dzohMhJAFl3jQu,https://www.timeoutdubai.com/kids/435627-uae-schools-to-close-from-sunday-march-8 ; https://www.cnbc.com/2020/03/04/coronavirus-uae-cancels-events-announces-school-closures.html,CoronaNet (original),,2020-03-30,2020-03-30T18:00:32Z,45,0,7,,,,,,,,,131,42.6,0,0.572138249874115,-1.49370527267456,4,70,9630959,392774042462.674,1.72634934292543,16.0804933634474,26.6965003278996,2,1,1.56278056327581,-0.889216676250828,8587256
R_1HizdfaHFVzX0wAEr,5187042Er,new_entry,,,"","The UAE closed all schools and universities, starting on March 8, 2020, for a period of 4 weeks. During these 4 weeks, the schools will undergo a deep clean. The first 2 weeks are meant to be spring break, while the remaining two weeks will continue with online classes. This also restricts all trips, and extra-curricular activities.",2020-03-04,2020-03-08,2020-04-05,The policy has a clear end date,United Arab Emirates,ARE,AE,National,1,,,,Closure and Regulation of Schools,Primary Schools (generally for children ages 10 and below),,"",,,,,,"","","","","","","","","","","",,,Primary Schools closed/locked down,"",,United Arab Emirates,,,,,,,All Residents (Citizen Residents + Foreign Residents),,,,Mandatory with Legal Penalties (Jail Time),Other (Please specify in the text box),https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_2dzohMhJAFl3jQu,https://www.timeoutdubai.com/kids/435627-uae-schools-to-close-from-sunday-march-8 ; https://www.cnbc.com/2020/03/04/coronavirus-uae-cancels-events-announces-school-closures.html,CoronaNet (original),,2020-03-30,2020-03-30T18:00:32Z,45,0,7,,,,,,,,,131,42.6,0,0.572138249874115,-1.49370527267456,4,70,9630959,392774042462.674,1.72634934292543,16.0804933634474,26.6965003278996,2,1,1.56278056327581,-0.889216676250828,8587256
R_1HizdfaHFVzX0wAGc,5187042Gc,new_entry,,,"","The UAE closed all schools and universities, starting on March 8, 2020, for a period of 4 weeks. During these 4 weeks, the schools will undergo a deep clean. The first 2 weeks are meant to be spring break, while the remaining two weeks will continue with online classes. This also restricts all trips, and extra-curricular activities.",2020-03-04,2020-03-08,2020-04-05,The policy has a clear end date,United Arab Emirates,ARE,AE,National,1,,,,Closure and Regulation of Schools,Secondary Schools (generally for children ages 10 to 18),,"",,,,,,"","","","","","","","","","","",,,Secondary Schools closed/locked down,"",,United Arab Emirates,,,,,,,All Residents (Citizen Residents + Foreign Residents),,,,Mandatory with Legal Penalties (Jail Time),Other (Please specify in the text box),https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_2dzohMhJAFl3jQu,https://www.timeoutdubai.com/kids/435627-uae-schools-to-close-from-sunday-march-8 ; https://www.cnbc.com/2020/03/04/coronavirus-uae-cancels-events-announces-school-closures.html,CoronaNet (original),,2020-03-30,2020-03-30T18:00:32Z,45,0,7,,,,,,,,,131,42.6,0,0.572138249874115,-1.49370527267456,4,70,9630959,392774042462.674,1.72634934292543,16.0804933634474,26.6965003278996,2,1,1.56278056327581,-0.889216676250828,8587256
R_1HizdfaHFVzX0wACf,5187042Cf,new_entry,,,"","The UAE closed all schools and universities, starting on March 8, 2020, for a period of 4 weeks. During these 4 weeks, the schools will undergo a deep clean. The first 2 weeks are meant to be spring break, while the remaining two weeks will continue with online classes. This also restricts all trips, and extra-curricular activities.",2020-03-04,2020-03-08,2020-04-05,The policy has a clear end date,United Arab Emirates,ARE,AE,National,1,,,,Closure and Regulation of Schools,Higher education institutions (i.e. degree granting institutions),,"",,,,,,"","","","","","","","","","","",,,Higher education institutions closed/locked down,"",,United Arab Emirates,,,,,,,All Residents (Citizen Residents + Foreign Residents),,,,Mandatory with Legal Penalties (Jail Time),Other (Please specify in the text box),https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_2dzohMhJAFl3jQu,https://www.timeoutdubai.com/kids/435627-uae-schools-to-close-from-sunday-march-8 ; https://www.cnbc.com/2020/03/04/coronavirus-uae-cancels-events-announces-school-closures.html,CoronaNet (original),,2020-03-30,2020-03-30T18:00:32Z,45,0,7,,,,,,,,,131,42.6,0,0.572138249874115,-1.49370527267456,4,70,9630959,392774042462.674,1.72634934292543,16.0804933634474,26.6965003278996,2,1,1.56278056327581,-0.889216676250828,8587256
R_1o0v6Ol9ULtBZ43Er,3056422Er,new_entry,,,"","On March 3rd, the UAE’s education ministry announced the closure of all schools and universities in the country – public and private – for four weeks in a bid to prevent the spread of COVID-19.
Spring break was initially scheduled to run from March 29, 2020, to April 12, 2020 – but the ministry has instructed all schools and higher education establishments to close for four weeks from Sunday, March 8, 2020.
During the closure, the ministry will sterilize schools and universities and students will conduct distance learning.",2020-03-03,2020-03-08,2020-04-05,The policy has a clear end date,United Arab Emirates,ARE,AE,National,1,,,,Closure and Regulation of Schools,Primary Schools (generally for children ages 10 and below),,"",,,,,,"","","","","","","","","","","",,,Primary Schools closed/locked down,"",Yes,United Arab Emirates,"One or more countries, but not all countries",,,,,,All Residents (Citizen Residents + Foreign Residents),No special population targeted,,,Mandatory (Unspecified/Implied),"National Government,Ministry/Department of Health",https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_3qHDTAdtCvfI4jU,https://www.arabnews.com/node/1636626/middle-east,CoronaNet (original),,2020-07-22,2020-07-22T04:38:42Z,45,0,7,,,,,,,,,131,42.6,0,0.572138249874115,-1.49370527267456,4,70,9630959,392774042462.674,1.72634934292543,16.0804933634474,26.6965003278996,2,1,1.56278056327581,-0.889216676250828,8587256
R_1o0v6Ol9ULtBZ43Gc,3056422Gc,new_entry,,,"","On March 3rd, the UAE’s education ministry announced the closure of all schools and universities in the country – public and private – for four weeks in a bid to prevent the spread of COVID-19.
Spring break was initially scheduled to run from March 29, 2020, to April 12, 2020 – but the ministry has instructed all schools and higher education establishments to close for four weeks from Sunday, March 8, 2020.
During the closure, the ministry will sterilize schools and universities and students will conduct distance learning.",2020-03-03,2020-03-08,2020-04-05,The policy has a clear end date,United Arab Emirates,ARE,AE,National,1,,,,Closure and Regulation of Schools,Secondary Schools (generally for children ages 10 to 18),,"",,,,,,"","","","","","","","","","","",,,Secondary Schools closed/locked down,"",Yes,United Arab Emirates,"One or more countries, but not all countries",,,,,,All Residents (Citizen Residents + Foreign Residents),No special population targeted,,,Mandatory (Unspecified/Implied),"National Government,Ministry/Department of Health",https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_3qHDTAdtCvfI4jU,https://www.arabnews.com/node/1636626/middle-east,CoronaNet (original),,2020-07-22,2020-07-22T04:38:42Z,45,0,7,,,,,,,,,131,42.6,0,0.572138249874115,-1.49370527267456,4,70,9630959,392774042462.674,1.72634934292543,16.0804933634474,26.6965003278996,2,1,1.56278056327581,-0.889216676250828,8587256
R_1o0v6Ol9ULtBZ43Cf,3056422Cf,new_entry,,,"","On March 3rd, the UAE’s education ministry announced the closure of all schools and universities in the country – public and private – for four weeks in a bid to prevent the spread of COVID-19.
Spring break was initially scheduled to run from March 29, 2020, to April 12, 2020 – but the ministry has instructed all schools and higher education establishments to close for four weeks from Sunday, March 8, 2020.
During the closure, the ministry will sterilize schools and universities and students will conduct distance learning.",2020-03-03,2020-03-08,2020-04-05,The policy has a clear end date,United Arab Emirates,ARE,AE,National,1,,,,Closure and Regulation of Schools,Higher education institutions (i.e. degree granting institutions),,"",,,,,,"","","","","","","","","","","",,,Higher education institutions closed/locked down,"",Yes,United Arab Emirates,"One or more countries, but not all countries",,,,,,All Residents (Citizen Residents + Foreign Residents),No special population targeted,,,Mandatory (Unspecified/Implied),"National Government,Ministry/Department of Health",https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_3qHDTAdtCvfI4jU,https://www.arabnews.com/node/1636626/middle-east,CoronaNet (original),,2020-07-22,2020-07-22T04:38:42Z,45,0,7,,,,,,,,,131,42.6,0,0.572138249874115,-1.49370527267456,4,70,9630959,392774042462.674,1.72634934292543,16.0804933634474,26.6965003278996,2,1,1.56278056327581,-0.889216676250828,8587256
R_2uBRH5qIWddn0bdEq,9630410Eq,new_entry,,,"","On 22 March 2020, Ministry of Education started educating students of schools and higher education institutes through distance learning. This is scheduled to be in force for two weeks.",2020-03-22,2020-03-22,2020-04-05,The policy has a clear end date,United Arab Emirates,ARE,AE,National,1,,,,Closure and Regulation of Schools,Preschool or childcare facilities (generally for children ages 5 and below),,"",,,,,,"","","","","","","","","","","",,,Preschool or childcare facilities closed/locked down,"",Yes,United Arab Emirates,"One or more countries, but not all countries",,,,,,All Residents (Citizen Residents + Foreign Residents),Other population not specifed above,,,Mandatory (Unspecified/Implied),"National Government,Ministry/Department of Health",https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_9uyN4Fu2DaUKYF3,https://u.ae/en/information-and-services/education/distance-learning-in-times-of-covid-19,CoronaNet (original),,2022-01-29,2022-01-29T17:11:27Z,153,2,38,,,,,,,,,131,42.6,0,0.572138249874115,-1.49370527267456,4,70,9630959,392774042462.674,1.72634934292543,16.0804933634474,26.6965003278996,2,1,1.56278056327581,-0.889216676250828,8587256
