record_id,policy_id,entry_type,update_type,update_level,update_level_var,description,date_announced,date_start,date_end,date_end_spec,country,ISO_A3,ISO_A2,init_country_level,domestic_policy,province,ISO_L2,city,type,type_sub_cat,type_new_admin_coop,type_vac_cat,type_vac_mix,type_vac_reg,type_vac_purchase,type_vac_group,type_vac_group_rank,type_vac_who_pays,type_vac_dist_admin,type_vac_loc,type_vac_cost_num,type_vac_cost_scale,type_vac_cost_unit,type_vac_cost_gov_perc,type_vac_amt_num,type_vac_amt_scale,type_vac_amt_unit,type_vac_amt_gov_perc,type_text,institution_cat,institution_status,institution_conditions,target_init_same,target_country,target_geog_level,target_region,target_province,target_city,target_intl_org,target_other,target_who_what,target_who_gen,target_direction,travel_mechanism,compliance,enforcer,dist_index_high_est,dist_index_med_est,dist_index_low_est,dist_index_country_rank,pdf_link,link,date_updated,recorded_date,confirmed_cases,deaths,recovered,new_tests,total_tests,total_tests_per_thousand,tests_units,total_vaccinations,daily_vaccinations,total_vaccinations_per_hundred,daily_vaccinations_per_million,Rank_FP,Score_FP,muni_IDC,dispersive_IDC,constraining_IDC,sfi_SFI,ti_cpi_TI,pop_WDI_PW,gdp_WDI_PW,growth_WDI_PW,lnpop_WDI_PW,lngdp_WDI_PW,disap_FA,polpris_FA,latentmean_FA,transparencyindex_HR,EmigrantStock_EMS
R_2tgHf2dyQsTnfVDEm,6669388Em,new_entry,,,"",El Salvador is closing all schools and universities for a period of 21 days.,2020-03-11,2020-03-11,,,El Salvador,SLV,SV,National,1,,,,Closure and Regulation of Schools,Primary Schools (generally for children ages 10 and below),,"",,,,,,"","","","","","","","","","","",,,Primary Schools closed/locked down,"",,El Salvador,,,,,,,All Residents (Citizen Residents + Foreign Residents),,,,Mandatory (Unspecified/Implied),National Government,42.6116223115916,39.0519454536923,34.938724750567,81,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_1r6uVqZKFKGnqEi,https://www.elsalvador.com/noticias/nacional/coronavirus-el-salvador/694787/2020/,2020-04-03,2020-04-03T09:44:31Z,0,0,0,,,,,,,,,74,29.7,2,-0.824784338474274,-0.862677931785583,4,33,6388122,21987884456.6712,2.30655703141471,15.669950886444,23.8137574320953,2,2,0.406450300497291,1.47467424154497,42045
R_2tgHf2dyQsTnfVDFw,6669388Fw,new_entry,,,"",El Salvador is closing all schools and universities for a period of 21 days.,2020-03-11,2020-03-11,,,El Salvador,SLV,SV,National,1,,,,Closure and Regulation of Schools,Secondary Schools (generally for children ages 10 to 18),,"",,,,,,"","","","","","","","","","","",,,Secondary Schools closed/locked down,"",,El Salvador,,,,,,,All Residents (Citizen Residents + Foreign Residents),,,,Mandatory (Unspecified/Implied),National Government,42.6116223115916,39.0519454536923,34.938724750567,81,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_1r6uVqZKFKGnqEi,https://www.elsalvador.com/noticias/nacional/coronavirus-el-salvador/694787/2020/,2020-04-03,2020-04-03T09:44:31Z,0,0,0,,,,,,,,,74,29.7,2,-0.824784338474274,-0.862677931785583,4,33,6388122,21987884456.6712,2.30655703141471,15.669950886444,23.8137574320953,2,2,0.406450300497291,1.47467424154497,42045
R_2tgHf2dyQsTnfVDCe,6669388Ce,new_entry,,,"",El Salvador is closing all schools and universities for a period of 21 days.,2020-03-11,2020-03-11,,,El Salvador,SLV,SV,National,1,,,,Closure and Regulation of Schools,Higher education institutions (i.e. degree granting institutions),,"",,,,,,"","","","","","","","","","","",,,Higher education institutions closed/locked down,"",,El Salvador,,,,,,,All Residents (Citizen Residents + Foreign Residents),,,,Mandatory (Unspecified/Implied),National Government,42.6116223115916,39.0519454536923,34.938724750567,81,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_1r6uVqZKFKGnqEi,https://www.elsalvador.com/noticias/nacional/coronavirus-el-salvador/694787/2020/,2020-04-03,2020-04-03T09:44:31Z,0,0,0,,,,,,,,,74,29.7,2,-0.824784338474274,-0.862677931785583,4,33,6388122,21987884456.6712,2.30655703141471,15.669950886444,23.8137574320953,2,2,0.406450300497291,1.47467424154497,42045
R_3h9HKzaIZFOBoY1El,8918213El,new_entry,,,"","El Salvador's National Government mandates that the Ministry of Education must order the suspension of educational activities during a period of twenty-one (21) days, with the aim of protecting Salvadorans against the risks that may arise.",2020-03-11,2020-03-11,2020-04-01,The policy has a clear end date,El Salvador,SLV,SV,National,1,,,,Closure and Regulation of Schools,Preschool or childcare facilities (generally for children ages 5 and below),,"",,,,,,"","","","","","","","","","","",,,,"",,El Salvador,,,,,,,All Residents (Citizen Residents + Foreign Residents),,,,Mandatory with Legal Penalties (Jail Time),"National Government,Other (Please specify in the text box)",42.6116223115916,39.0519454536923,34.938724750567,81,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_3m3RnyQCZauUvJw,https://covid19.gob.sv/el-salvador-ante-la-pandemia-del-covid19/,2021-04-22,2021-04-22T00:48:10Z,0,0,0,,,,,,,,,74,29.7,2,-0.824784338474274,-0.862677931785583,4,33,6388122,21987884456.6712,2.30655703141471,15.669950886444,23.8137574320953,2,2,0.406450300497291,1.47467424154497,42045
R_3h9HKzaIZFOBoY1Em,8918213Em,new_entry,,,"","El Salvador's National Government mandates that the Ministry of Education must order the suspension of educational activities during a period of twenty-one (21) days, with the aim of protecting Salvadorans against the risks that may arise.",2020-03-11,2020-03-11,2020-04-01,The policy has a clear end date,El Salvador,SLV,SV,National,1,,,,Closure and Regulation of Schools,Primary Schools (generally for children ages 10 and below),,"",,,,,,"","","","","","","","","","","",,,,"",,El Salvador,,,,,,,All Residents (Citizen Residents + Foreign Residents),,,,Mandatory with Legal Penalties (Jail Time),"National Government,Other (Please specify in the text box)",42.6116223115916,39.0519454536923,34.938724750567,81,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_3m3RnyQCZauUvJw,https://covid19.gob.sv/el-salvador-ante-la-pandemia-del-covid19/,2021-04-22,2021-04-22T00:48:10Z,0,0,0,,,,,,,,,74,29.7,2,-0.824784338474274,-0.862677931785583,4,33,6388122,21987884456.6712,2.30655703141471,15.669950886444,23.8137574320953,2,2,0.406450300497291,1.47467424154497,42045
R_3h9HKzaIZFOBoY1Fw,8918213Fw,new_entry,,,"","El Salvador's National Government mandates that the Ministry of Education must order the suspension of educational activities during a period of twenty-one (21) days, with the aim of protecting Salvadorans against the risks that may arise.",2020-03-11,2020-03-11,2020-04-01,The policy has a clear end date,El Salvador,SLV,SV,National,1,,,,Closure and Regulation of Schools,Secondary Schools (generally for children ages 10 to 18),,"",,,,,,"","","","","","","","","","","",,,,"",,El Salvador,,,,,,,All Residents (Citizen Residents + Foreign Residents),,,,Mandatory with Legal Penalties (Jail Time),"National Government,Other (Please specify in the text box)",42.6116223115916,39.0519454536923,34.938724750567,81,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_3m3RnyQCZauUvJw,https://covid19.gob.sv/el-salvador-ante-la-pandemia-del-covid19/,2021-04-22,2021-04-22T00:48:10Z,0,0,0,,,,,,,,,74,29.7,2,-0.824784338474274,-0.862677931785583,4,33,6388122,21987884456.6712,2.30655703141471,15.669950886444,23.8137574320953,2,2,0.406450300497291,1.47467424154497,42045
R_3h9HKzaIZFOBoY1Ce,8918213Ce,new_entry,,,"","El Salvador's National Government mandates that the Ministry of Education must order the suspension of educational activities during a period of twenty-one (21) days, with the aim of protecting Salvadorans against the risks that may arise.",2020-03-11,2020-03-11,2020-04-01,The policy has a clear end date,El Salvador,SLV,SV,National,1,,,,Closure and Regulation of Schools,Higher education institutions (i.e. degree granting institutions),,"",,,,,,"","","","","","","","","","","",,,,"",,El Salvador,,,,,,,All Residents (Citizen Residents + Foreign Residents),,,,Mandatory with Legal Penalties (Jail Time),"National Government,Other (Please specify in the text box)",42.6116223115916,39.0519454536923,34.938724750567,81,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_3m3RnyQCZauUvJw,https://covid19.gob.sv/el-salvador-ante-la-pandemia-del-covid19/,2021-04-22,2021-04-22T00:48:10Z,0,0,0,,,,,,,,,74,29.7,2,-0.824784338474274,-0.862677931785583,4,33,6388122,21987884456.6712,2.30655703141471,15.669950886444,23.8137574320953,2,2,0.406450300497291,1.47467424154497,42045
R_290RFYjdFtYGTUuEl,8895661El,new_entry,,,"","El Salvador, from April 18-29 of 2020, imposes class suspension ""until further notice"".",2020-04-18,2020-04-18,2020-04-29,The policy has a clear end date,El Salvador,SLV,SV,National,1,,,,Closure and Regulation of Schools,Preschool or childcare facilities (generally for children ages 5 and below),,"",,,,,,"","","","","","","","","","","",,,Preschool or childcare facilities closed/locked down,"",Yes,El Salvador,"One or more countries, but not all countries",,,,,,All Residents (Citizen Residents + Foreign Residents),No special population targeted,,,Mandatory (Unspecified/Implied),National Government,73.8698701784938,70.6772187009726,67.0944001797687,79,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_2xPeWktqd1qKrEq,http://web.archive.org/web/20201206153741/https://www.diariooficial.gob.sv/diarios/do-2020/03-marzo/21-03-2020.pdf,2022-04-08,2022-04-08T11:02:16Z,190,7,43,969,6271,0.962,,,,,,74,29.7,2,-0.824784338474274,-0.862677931785583,4,33,6388122,21987884456.6712,2.30655703141471,15.669950886444,23.8137574320953,2,2,0.406450300497291,1.47467424154497,42045
R_290RFYjdFtYGTUuEm,8895661Em,new_entry,,,"","El Salvador, from April 18-29 of 2020, imposes class suspension ""until further notice"".",2020-04-18,2020-04-18,2020-04-29,The policy has a clear end date,El Salvador,SLV,SV,National,1,,,,Closure and Regulation of Schools,Primary Schools (generally for children ages 10 and below),,"",,,,,,"","","","","","","","","","","",,,Primary Schools closed/locked down,"",Yes,El Salvador,"One or more countries, but not all countries",,,,,,All Residents (Citizen Residents + Foreign Residents),No special population targeted,,,Mandatory (Unspecified/Implied),National Government,73.8698701784938,70.6772187009726,67.0944001797687,79,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_2xPeWktqd1qKrEq,http://web.archive.org/web/20201206153741/https://www.diariooficial.gob.sv/diarios/do-2020/03-marzo/21-03-2020.pdf,2022-04-08,2022-04-08T11:02:16Z,190,7,43,969,6271,0.962,,,,,,74,29.7,2,-0.824784338474274,-0.862677931785583,4,33,6388122,21987884456.6712,2.30655703141471,15.669950886444,23.8137574320953,2,2,0.406450300497291,1.47467424154497,42045
R_290RFYjdFtYGTUuFw,8895661Fw,new_entry,,,"","El Salvador, from April 18-29 of 2020, imposes class suspension ""until further notice"".",2020-04-18,2020-04-18,2020-04-29,The policy has a clear end date,El Salvador,SLV,SV,National,1,,,,Closure and Regulation of Schools,Secondary Schools (generally for children ages 10 to 18),,"",,,,,,"","","","","","","","","","","",,,Secondary Schools closed/locked down,"",Yes,El Salvador,"One or more countries, but not all countries",,,,,,All Residents (Citizen Residents + Foreign Residents),No special population targeted,,,Mandatory (Unspecified/Implied),National Government,73.8698701784938,70.6772187009726,67.0944001797687,79,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_2xPeWktqd1qKrEq,http://web.archive.org/web/20201206153741/https://www.diariooficial.gob.sv/diarios/do-2020/03-marzo/21-03-2020.pdf,2022-04-08,2022-04-08T11:02:16Z,190,7,43,969,6271,0.962,,,,,,74,29.7,2,-0.824784338474274,-0.862677931785583,4,33,6388122,21987884456.6712,2.30655703141471,15.669950886444,23.8137574320953,2,2,0.406450300497291,1.47467424154497,42045
R_290RFYjdFtYGTUuCe,8895661Ce,new_entry,,,"","El Salvador, from April 18-29 of 2020, imposes class suspension ""until further notice"".",2020-04-18,2020-04-18,2020-04-29,The policy has a clear end date,El Salvador,SLV,SV,National,1,,,,Closure and Regulation of Schools,Higher education institutions (i.e. degree granting institutions),,"",,,,,,"","","","","","","","","","","",,,Higher education institutions closed/locked down,"",Yes,El Salvador,"One or more countries, but not all countries",,,,,,All Residents (Citizen Residents + Foreign Residents),No special population targeted,,,Mandatory (Unspecified/Implied),National Government,73.8698701784938,70.6772187009726,67.0944001797687,79,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_2xPeWktqd1qKrEq,http://web.archive.org/web/20201206153741/https://www.diariooficial.gob.sv/diarios/do-2020/03-marzo/21-03-2020.pdf,2022-04-08,2022-04-08T11:02:16Z,190,7,43,969,6271,0.962,,,,,,74,29.7,2,-0.824784338474274,-0.862677931785583,4,33,6388122,21987884456.6712,2.30655703141471,15.669950886444,23.8137574320953,2,2,0.406450300497291,1.47467424154497,42045
R_3g6QgNQrdQCewBhEl,3752684El,new_entry,,,"","El Salvador, on August 13th, the Ministry of Education, Science and Technology announced that in-person educational and academic activities would be suspended until December 31, 2020.",2020-09-30,2020-10-19,2020-10-19,The policy has a clear end date,El Salvador,SLV,SV,National,1,,,,Closure and Regulation of Schools,Preschool or childcare facilities (generally for children ages 5 and below),,"",,,,,,"","","","","","","","","","","",,,Preschool or childcare facilities closed/locked down,"",Yes,El Salvador,"One or more countries, but not all countries",,,,,,All Residents (Citizen Residents + Foreign Residents),No special population targeted,,,Mandatory (Unspecified/Implied),Ministry/Department of Education,58.8001772587666,55.8053445820277,52.3622973233523,62,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_2dFx8uxwgwwN1nt,http://web.archive.org/web/20201010092341/http://www.mined.gob.sv/downloads/Circular%20Ministerial%2013%20a%C3%B1o%202020..pdf,2022-04-08,2022-04-08T11:15:14Z,31826,926,27000,2459,443913,68.1,,,,,,74,29.7,2,-0.824784338474274,-0.862677931785583,4,33,6388122,21987884456.6712,2.30655703141471,15.669950886444,23.8137574320953,2,2,0.406450300497291,1.47467424154497,42045
R_3g6QgNQrdQCewBhEm,3752684Em,new_entry,,,"","El Salvador, on August 13th, the Ministry of Education, Science and Technology announced that in-person educational and academic activities would be suspended until December 31, 2020.",2020-09-30,2020-10-19,2020-10-19,The policy has a clear end date,El Salvador,SLV,SV,National,1,,,,Closure and Regulation of Schools,Primary Schools (generally for children ages 10 and below),,"",,,,,,"","","","","","","","","","","",,,Primary Schools closed/locked down,"",Yes,El Salvador,"One or more countries, but not all countries",,,,,,All Residents (Citizen Residents + Foreign Residents),No special population targeted,,,Mandatory (Unspecified/Implied),Ministry/Department of Education,58.8001772587666,55.8053445820277,52.3622973233523,62,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_2dFx8uxwgwwN1nt,http://web.archive.org/web/20201010092341/http://www.mined.gob.sv/downloads/Circular%20Ministerial%2013%20a%C3%B1o%202020..pdf,2022-04-08,2022-04-08T11:15:14Z,31826,926,27000,2459,443913,68.1,,,,,,74,29.7,2,-0.824784338474274,-0.862677931785583,4,33,6388122,21987884456.6712,2.30655703141471,15.669950886444,23.8137574320953,2,2,0.406450300497291,1.47467424154497,42045
R_3g6QgNQrdQCewBhFw,3752684Fw,new_entry,,,"","El Salvador, on August 13th, the Ministry of Education, Science and Technology announced that in-person educational and academic activities would be suspended until December 31, 2020.",2020-09-30,2020-10-19,2020-10-19,The policy has a clear end date,El Salvador,SLV,SV,National,1,,,,Closure and Regulation of Schools,Secondary Schools (generally for children ages 10 to 18),,"",,,,,,"","","","","","","","","","","",,,Secondary Schools closed/locked down,"",Yes,El Salvador,"One or more countries, but not all countries",,,,,,All Residents (Citizen Residents + Foreign Residents),No special population targeted,,,Mandatory (Unspecified/Implied),Ministry/Department of Education,58.8001772587666,55.8053445820277,52.3622973233523,62,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_2dFx8uxwgwwN1nt,http://web.archive.org/web/20201010092341/http://www.mined.gob.sv/downloads/Circular%20Ministerial%2013%20a%C3%B1o%202020..pdf,2022-04-08,2022-04-08T11:15:14Z,31826,926,27000,2459,443913,68.1,,,,,,74,29.7,2,-0.824784338474274,-0.862677931785583,4,33,6388122,21987884456.6712,2.30655703141471,15.669950886444,23.8137574320953,2,2,0.406450300497291,1.47467424154497,42045
R_3g6QgNQrdQCewBhCe,3752684Ce,new_entry,,,"","El Salvador, on August 13th, the Ministry of Education, Science and Technology announced that in-person educational and academic activities would be suspended until December 31, 2020.",2020-09-30,2020-10-19,2020-10-19,The policy has a clear end date,El Salvador,SLV,SV,National,1,,,,Closure and Regulation of Schools,Higher education institutions (i.e. degree granting institutions),,"",,,,,,"","","","","","","","","","","",,,Higher education institutions closed/locked down,"",Yes,El Salvador,"One or more countries, but not all countries",,,,,,All Residents (Citizen Residents + Foreign Residents),No special population targeted,,,Mandatory (Unspecified/Implied),Ministry/Department of Education,58.8001772587666,55.8053445820277,52.3622973233523,62,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_2dFx8uxwgwwN1nt,http://web.archive.org/web/20201010092341/http://www.mined.gob.sv/downloads/Circular%20Ministerial%2013%20a%C3%B1o%202020..pdf,2022-04-08,2022-04-08T11:15:14Z,31826,926,27000,2459,443913,68.1,,,,,,74,29.7,2,-0.824784338474274,-0.862677931785583,4,33,6388122,21987884456.6712,2.30655703141471,15.669950886444,23.8137574320953,2,2,0.406450300497291,1.47467424154497,42045
R_2YFY5FR3Tq5IudWAi,3520336,new_entry,,,"","El Salvador, on April 22, 2021 president Nayib Bukele announced that Salvadorans over 55 can now schedule their appointment to be immunized against COVID-19, in an orderly, free and universal process.  El Salvador received vaccines from the pharmaceutical company; AstraZeneca",2020-04-19,2020-04-19,2020-08-17,The policy has an imprecise natural end date (e.g. masks will be distributed until they run out),El Salvador,SLV,SV,National,0,,,,COVID-19 Vaccines,Administering of the vaccine (i.e. giving people the vaccine shot),,Other vaccine type,This distribution policy is not about mixing and matching of different vaccines.,,,Certain populations based on demographic characteristics/epidemiological risk given preference for vaccinations,1,Vaccine is free for the individual,National government entity,Other vaccination location,"","","","","","","","",,,,"",Yes,El Salvador,"One or more countries, but not all countries",,,,,,,Priority Group 1: People of a certain age,,,Voluntary/Recommended but No Penalties,Ministry/Department of Health,74.276968354241,71.2299675944504,67.4248694583972,85,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_xGzsPxDF0akJQDD,https://web.archive.org/web/20210504000015/https://www.salud.gob.sv/abril-2021-inicia-la-vacunacion-contra-covid-19-para-mayores-de-55-anos/,2022-04-08,2022-04-08T11:45:28Z,201,7,44,1050,7321,1.123,,,,,,74,29.7,2,-0.824784338474274,-0.862677931785583,4,33,6388122,21987884456.6712,2.30655703141471,15.669950886444,23.8137574320953,2,2,0.406450300497291,1.47467424154497,42045
