record_id,policy_id,entry_type,update_type,update_level,update_level_var,description,date_announced,date_start,date_end,date_end_spec,country,ISO_A3,ISO_A2,init_country_level,domestic_policy,province,ISO_L2,city,type,type_sub_cat,type_new_admin_coop,type_vac_cat,type_vac_mix,type_vac_reg,type_vac_purchase,type_vac_group,type_vac_group_rank,type_vac_who_pays,type_vac_dist_admin,type_vac_loc,type_vac_cost_num,type_vac_cost_scale,type_vac_cost_unit,type_vac_cost_gov_perc,type_vac_amt_num,type_vac_amt_scale,type_vac_amt_unit,type_vac_amt_gov_perc,type_text,institution_cat,institution_status,institution_conditions,target_init_same,target_country,target_geog_level,target_region,target_province,target_city,target_intl_org,target_other,target_who_what,target_who_gen,target_direction,travel_mechanism,compliance,enforcer,dist_index_high_est,dist_index_med_est,dist_index_low_est,dist_index_country_rank,pdf_link,link,date_updated,recorded_date,confirmed_cases,deaths,recovered,new_tests,total_tests,total_tests_per_thousand,tests_units,total_vaccinations,daily_vaccinations,total_vaccinations_per_hundred,daily_vaccinations_per_million,Rank_FP,Score_FP,muni_IDC,dispersive_IDC,constraining_IDC,sfi_SFI,ti_cpi_TI,pop_WDI_PW,gdp_WDI_PW,growth_WDI_PW,lnpop_WDI_PW,lngdp_WDI_PW,disap_FA,polpris_FA,latentmean_FA,transparencyindex_HR,EmigrantStock_EMS
R_1eWAUvZdsgvcgADNA,7272405,new_entry,,,"",Zimbabwe on the 30th of March announced up to 20 year jail terms for spreading falsehoods about the Covid-19 outbreak.,2020-03-27,2020-03-30,,,Zimbabwe,ZWE,ZW,,1,,,,Anti-Disinformation Measures,,,"",,,,,,"","","","","","","","","","","",,,,"",,Zimbabwe,,,,,,,All Residents (Citizen Residents + Foreign Residents),,,,,,65.5533748032276,62.3863414248648,59.7169805829386,51,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_1q8HWICXX5XjVRM ; https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_2XoLMCJpkkhTynf,https://www.bbc.com/news/topics/crr7mlg0rpvt/zimbabwe,2020-07-06,2020-07-06T15:24:09Z,7,1,0,,,,,,,,,126,40.9,1,-0.824784338474274,0.0198479853570461,17,22,14236745,17985583509.3756,4.70403534833559,16.4713368563587,23.6128363577921,0,0,-1.12583147261787,-0.858696425813871,400482
R_8HrjC2GLaX1ZPEJNA,2038437,new_entry,,,"","The Zimbabwean government has announced that as from 14 June, it will be providing daily updates on hotspots. This is an attempt to keep the country updated with accurate facts on the extent of the pandemic",2021-06-13,2021-06-13,,The policy’s end date is unknown or unreported,Zimbabwe,ZWE,ZW,National,1,,,,Anti-Disinformation Measures,,,"",,,,,,"","","","","","","","","","","",,,,"",Yes,Zimbabwe,"One or more countries, but not all countries",,,,,,All Residents (Citizen Residents + Foreign Residents),No special population targeted,,,Mandatory (Other; please list other enforcement mechanisms in the text entry),National Government,,,,,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_dmyhHz8L7iEEWhH,https://www.garda.com/crisis24/news-alerts/489996/zimbabwe-officials-enhance-covid-19-restrictions-nationwide-in-mid-june-update-17,2021-07-04,2021-07-04T15:56:00Z,39959,1632,37004,1363,580870,38.488,,1107036,5564,7.34,369,126,40.9,1,-0.824784338474274,0.0198479853570461,17,22,14236745,17985583509.3756,4.70403534833559,16.4713368563587,23.6128363577921,0,0,-1.12583147261787,-0.858696425813871,400482
R_ZyRkxwZwbRYtzAREl,7928262El,new_entry,,,"","In Zimbabwe, schools and universities will close at the end of the normal school term, Tuesday March 24. Reopening dates will be advised once the threat of the virus has receded.",2020-03-20,2020-03-24,,,Zimbabwe,ZWE,ZW,National,1,,,,Closure and Regulation of Schools,Preschool or childcare facilities (generally for children ages 5 and below),,"",,,,,,"","","","","","","","","","","",,,Preschool or childcare facilities closed/locked down,"",,Zimbabwe,,,,,,,All Residents (Citizen Residents + Foreign Residents),,,,Mandatory (Unspecified/Implied),National Government,58.9684733860807,55.7383689537623,53.0284470934349,49,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_2tfJrwl7GtiS4Le,https://www.universityworldnews.com/post.php?story=20200323065236567 ; https://www.uz.ac.zw/index.php/news/uz-main-news/1359-covid-19-statement-on-the-temporary-closure-of-the-university-of-zimbabwe,2020-05-07,2020-05-07T13:53:43Z,3,1,0,,,,,,,,,126,40.9,1,-0.824784338474274,0.0198479853570461,17,22,14236745,17985583509.3756,4.70403534833559,16.4713368563587,23.6128363577921,0,0,-1.12583147261787,-0.858696425813871,400482
R_ZyRkxwZwbRYtzAREm,7928262Em,new_entry,,,"","In Zimbabwe, schools and universities will close at the end of the normal school term, Tuesday March 24. Reopening dates will be advised once the threat of the virus has receded.",2020-03-20,2020-03-24,,,Zimbabwe,ZWE,ZW,National,1,,,,Closure and Regulation of Schools,Primary Schools (generally for children ages 10 and below),,"",,,,,,"","","","","","","","","","","",,,Primary Schools closed/locked down,"",,Zimbabwe,,,,,,,All Residents (Citizen Residents + Foreign Residents),,,,Mandatory (Unspecified/Implied),National Government,58.9684733860807,55.7383689537623,53.0284470934349,49,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_2tfJrwl7GtiS4Le,https://www.universityworldnews.com/post.php?story=20200323065236567 ; https://www.uz.ac.zw/index.php/news/uz-main-news/1359-covid-19-statement-on-the-temporary-closure-of-the-university-of-zimbabwe,2020-05-07,2020-05-07T13:53:43Z,3,1,0,,,,,,,,,126,40.9,1,-0.824784338474274,0.0198479853570461,17,22,14236745,17985583509.3756,4.70403534833559,16.4713368563587,23.6128363577921,0,0,-1.12583147261787,-0.858696425813871,400482
R_ZyRkxwZwbRYtzARFw,7928262Fw,new_entry,,,"","In Zimbabwe, schools and universities will close at the end of the normal school term, Tuesday March 24. Reopening dates will be advised once the threat of the virus has receded.",2020-03-20,2020-03-24,,,Zimbabwe,ZWE,ZW,National,1,,,,Closure and Regulation of Schools,Secondary Schools (generally for children ages 10 to 18),,"",,,,,,"","","","","","","","","","","",,,Secondary Schools closed/locked down,"",,Zimbabwe,,,,,,,All Residents (Citizen Residents + Foreign Residents),,,,Mandatory (Unspecified/Implied),National Government,58.9684733860807,55.7383689537623,53.0284470934349,49,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_2tfJrwl7GtiS4Le,https://www.universityworldnews.com/post.php?story=20200323065236567 ; https://www.uz.ac.zw/index.php/news/uz-main-news/1359-covid-19-statement-on-the-temporary-closure-of-the-university-of-zimbabwe,2020-05-07,2020-05-07T13:53:43Z,3,1,0,,,,,,,,,126,40.9,1,-0.824784338474274,0.0198479853570461,17,22,14236745,17985583509.3756,4.70403534833559,16.4713368563587,23.6128363577921,0,0,-1.12583147261787,-0.858696425813871,400482
R_ZyRkxwZwbRYtzARCe,7928262Ce,new_entry,,,"","In Zimbabwe, schools and universities will close at the end of the normal school term, Tuesday March 24. Reopening dates will be advised once the threat of the virus has receded.",2020-03-20,2020-03-24,,,Zimbabwe,ZWE,ZW,National,1,,,,Closure and Regulation of Schools,Higher education institutions (i.e. degree granting institutions),,"",,,,,,"","","","","","","","","","","",,,Higher education institutions closed/locked down,"",,Zimbabwe,,,,,,,All Residents (Citizen Residents + Foreign Residents),,,,Mandatory (Unspecified/Implied),National Government,58.9684733860807,55.7383689537623,53.0284470934349,49,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_2tfJrwl7GtiS4Le,https://www.universityworldnews.com/post.php?story=20200323065236567 ; https://www.uz.ac.zw/index.php/news/uz-main-news/1359-covid-19-statement-on-the-temporary-closure-of-the-university-of-zimbabwe,2020-05-07,2020-05-07T13:53:43Z,3,1,0,,,,,,,,,126,40.9,1,-0.824784338474274,0.0198479853570461,17,22,14236745,17985583509.3756,4.70403534833559,16.4713368563587,23.6128363577921,0,0,-1.12583147261787,-0.858696425813871,400482
R_3flc8mUiL481aBYEm,7021165Em,new_entry,,,"","Public examinations are allowed to take place in Zimbabwe at schools, colleges and tertiary education institutions as of May 17.",2020-05-17,2020-05-17,,,Zimbabwe,ZWE,ZW,National,1,,,,Closure and Regulation of Schools,Primary Schools (generally for children ages 10 and below),,"",,,,,,"","","","","","","","","","","",,,Primary Schools allowed to open with conditions,Other conditions not listed above (please provide detail in the text entry),Yes,Zimbabwe,"One or more countries, but not all countries",,,,,,All Residents (Citizen Residents + Foreign Residents),Other population not specifed above,,,Mandatory (Unspecified/Implied),National Government,70.0099502109954,66.9037869069258,63.597102556612,79,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_1mqkK5vn584VJfg,http://www.veritaszim.net/sites/veritas_d/files/SI%202020-110%20Public%20Health%20%28COVID-19%20Prevention%2C%20Containment%20and%20Treatment%29%20%28National%20Lockdown%29%20%28Amendment%29%20Order%2C%202020%20%28No.%208%29.pdf,2020-06-05,2020-06-05T12:30:47Z,44,4,17,289,12564,0.832,,,,,,126,40.9,1,-0.824784338474274,0.0198479853570461,17,22,14236745,17985583509.3756,4.70403534833559,16.4713368563587,23.6128363577921,0,0,-1.12583147261787,-0.858696425813871,400482
R_3flc8mUiL481aBYFw,7021165Fw,new_entry,,,"","Public examinations are allowed to take place in Zimbabwe at schools, colleges and tertiary education institutions as of May 17.",2020-05-17,2020-05-17,,,Zimbabwe,ZWE,ZW,National,1,,,,Closure and Regulation of Schools,Secondary Schools (generally for children ages 10 to 18),,"",,,,,,"","","","","","","","","","","",,,Secondary Schools allowed to open with conditions,Other conditions not listed above (please provide detail in the text entry),Yes,Zimbabwe,"One or more countries, but not all countries",,,,,,All Residents (Citizen Residents + Foreign Residents),Other population not specifed above,,,Mandatory (Unspecified/Implied),National Government,70.0099502109954,66.9037869069258,63.597102556612,79,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_1mqkK5vn584VJfg,http://www.veritaszim.net/sites/veritas_d/files/SI%202020-110%20Public%20Health%20%28COVID-19%20Prevention%2C%20Containment%20and%20Treatment%29%20%28National%20Lockdown%29%20%28Amendment%29%20Order%2C%202020%20%28No.%208%29.pdf,2020-06-05,2020-06-05T12:30:47Z,44,4,17,289,12564,0.832,,,,,,126,40.9,1,-0.824784338474274,0.0198479853570461,17,22,14236745,17985583509.3756,4.70403534833559,16.4713368563587,23.6128363577921,0,0,-1.12583147261787,-0.858696425813871,400482
R_3flc8mUiL481aBYCe,7021165Ce,new_entry,,,"","Public examinations are allowed to take place in Zimbabwe at schools, colleges and tertiary education institutions as of May 17.",2020-05-17,2020-05-17,,,Zimbabwe,ZWE,ZW,National,1,,,,Closure and Regulation of Schools,Higher education institutions (i.e. degree granting institutions),,"",,,,,,"","","","","","","","","","","",,,Higher education institutions allowed to open with conditions,Other conditions not listed above (please provide detail in the text entry),Yes,Zimbabwe,"One or more countries, but not all countries",,,,,,All Residents (Citizen Residents + Foreign Residents),Other population not specifed above,,,Mandatory (Unspecified/Implied),National Government,70.0099502109954,66.9037869069258,63.597102556612,79,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_1mqkK5vn584VJfg,http://www.veritaszim.net/sites/veritas_d/files/SI%202020-110%20Public%20Health%20%28COVID-19%20Prevention%2C%20Containment%20and%20Treatment%29%20%28National%20Lockdown%29%20%28Amendment%29%20Order%2C%202020%20%28No.%208%29.pdf,2020-06-05,2020-06-05T12:30:47Z,44,4,17,289,12564,0.832,,,,,,126,40.9,1,-0.824784338474274,0.0198479853570461,17,22,14236745,17985583509.3756,4.70403534833559,16.4713368563587,23.6128363577921,0,0,-1.12583147261787,-0.858696425813871,400482
R_20rYUSGCmo6PJD3Em,6126086Em,new_entry,,,"","Phased reopening of primary and secondary schools has begun in Zimbabwe. From July 28, grade seven, form four and upper form six classes can resume.",2020-06-10,2020-07-28,,,Zimbabwe,ZWE,ZW,National,1,,,,Closure and Regulation of Schools,Primary Schools (generally for children ages 10 and below),,"",,,,,,"","","","","","","","","","","",,,Primary Schools allowed to open with conditions,Types of people on school premises are limited (e.g. no parents),Yes,Zimbabwe,"One or more countries, but not all countries",,,,,,All Residents (Citizen Residents + Foreign Residents),No special population targeted,,,Mandatory (Unspecified/Implied),National Government,69.6317178443926,66.4710303931666,63.2027152652494,104,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_Ofgs0aTmL4zcAjT,https://www.herald.co.zw/date-for-schools-reopening-set/,2020-06-16,2020-06-16T15:05:30Z,2817,40,604,1169,56000,3.711,,,,,,126,40.9,1,-0.824784338474274,0.0198479853570461,17,22,14236745,17985583509.3756,4.70403534833559,16.4713368563587,23.6128363577921,0,0,-1.12583147261787,-0.858696425813871,400482
