record_id,policy_id,entry_type,update_type,update_level,update_level_var,description,date_announced,date_start,date_end,date_end_spec,country,ISO_A3,ISO_A2,init_country_level,domestic_policy,province,ISO_L2,city,type,type_sub_cat,type_new_admin_coop,type_vac_cat,type_vac_mix,type_vac_reg,type_vac_purchase,type_vac_group,type_vac_group_rank,type_vac_who_pays,type_vac_dist_admin,type_vac_loc,type_vac_cost_num,type_vac_cost_scale,type_vac_cost_unit,type_vac_cost_gov_perc,type_vac_amt_num,type_vac_amt_scale,type_vac_amt_unit,type_vac_amt_gov_perc,type_text,institution_cat,institution_status,institution_conditions,target_init_same,target_country,target_geog_level,target_region,target_province,target_city,target_intl_org,target_other,target_who_what,target_who_gen,target_direction,travel_mechanism,compliance,enforcer,dist_index_high_est,dist_index_med_est,dist_index_low_est,dist_index_country_rank,pdf_link,link,date_updated,recorded_date,confirmed_cases,deaths,recovered,new_tests,total_tests,total_tests_per_thousand,tests_units,total_vaccinations,daily_vaccinations,total_vaccinations_per_hundred,daily_vaccinations_per_million,Rank_FP,Score_FP,muni_IDC,dispersive_IDC,constraining_IDC,sfi_SFI,ti_cpi_TI,pop_WDI_PW,gdp_WDI_PW,growth_WDI_PW,lnpop_WDI_PW,lngdp_WDI_PW,disap_FA,polpris_FA,latentmean_FA,transparencyindex_HR,EmigrantStock_EMS
R_3O1azVXcWbGkIkMNA,1812963,new_entry,,,"","On May 8th, The Brunei Health Ministry advised the public not to be fooled and believe in information and news being disseminated over the Internet or through other media such as  Whatsapp, Twitter, and  Facebook without ascertaining its authenticity.",2020-05-08,2020-05-08,2022-10-04,The policy has an unlimited time span (e.g. recommendation to wash one's hands; passing of a legal bill),Brunei,BRN,BN,National,1,,,,Anti-Disinformation Measures,,,"",,,,,,"","","","","","","","","","","",,,,"",Yes,Brunei,"One or more countries, but not all countries",,,,,,All Residents (Citizen Residents + Foreign Residents),No special population targeted,,,Voluntary/Recommended but No Penalties,Ministry/Department of Health,57.0226815344075,54.4525601479769,51.961382472633,15,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_3ssT9xwTRBsIon7,https://thescoop.co/2020/05/01/covid-19-live-updates-3/,2022-09-05,2022-09-05T23:59:59Z,141,1,132,,,,,,,,,152,49.6,0,-0.824784338474274,0.309990167617798,2,62,424473,13478181151.4485,1.32860255161715,12.9586036784704,23.324338003909,2,2,3.20711233533663,1.22264804919623,102733
R_2SqO9eocyYwfH0wNA,7484894,new_entry,,,"","On May 8th, The Health Ministry of Brunei urged the public not to discriminate against coronavirus-infected people.",2020-05-08,2020-05-08,2020-05-09,The policy is a one-time measure (e.g. publication of guidelines),Brunei,BRN,BN,National,1,,,,Anti-Disinformation Measures,,,"",,,,,,"","","","","","","","","","","",,,,"",Yes,Brunei,"One or more countries, but not all countries",,,,,,All Residents (Citizen Residents + Foreign Residents),No special population targeted,,,Voluntary/Recommended but No Penalties,Ministry/Department of Health,57.0226815344075,54.4525601479769,51.961382472633,15,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_PSAkOzPiYTD8N5D,https://thescoop.co/2020/05/01/covid-19-live-updates-3/,2022-09-05,2022-09-05T23:59:59Z,141,1,132,,,,,,,,,152,49.6,0,-0.824784338474274,0.309990167617798,2,62,424473,13478181151.4485,1.32860255161715,12.9586036784704,23.324338003909,2,2,3.20711233533663,1.22264804919623,102733
R_2v5NuVvNq8Iq9bXNA,9468971,new_entry,,,"","On May 8th, the Brunei Health Ministry informed that whether orally or in writing or by any other means, disseminates false reports, or makes false statements, resulting in disruptive public order is punishable by up to three-year imprisonment and fined up to BND3,000.",2020-05-08,2020-05-08,,The policy’s end date is unknown or unreported,Brunei,BRN,BN,National,1,,,,Anti-Disinformation Measures,,,"",,,,,,"","","","","","","","","","","",,,,"",Yes,Brunei,"One or more countries, but not all countries",,,,,,All Residents (Citizen Residents + Foreign Residents),No special population targeted,,,"Mandatory with Legal Penalties (Jail Time),Mandatory with Fines",Ministry/Department of Health,57.0226815344075,54.4525601479769,51.961382472633,15,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_1JPZHBj168L45F2,https://thescoop.co/2020/05/01/covid-19-live-updates-3/,2022-09-05,2022-09-05T23:59:59Z,141,1,132,,,,,,,,,152,49.6,0,-0.824784338474274,0.309990167617798,2,62,424473,13478181151.4485,1.32860255161715,12.9586036784704,23.324338003909,2,2,3.20711233533663,1.22264804919623,102733
R_2ASUMprEgyabm74Em,1531726Em,new_entry,,,"",school term break in Brunei is moved up on 11 March 2020.,2020-02-10,2020-03-11,,The policy’s end date is unknown or unreported,Brunei,BRN,BN,National,1,,,,Closure and Regulation of Schools,Primary Schools (generally for children ages 10 and below),,"",,,,,,"","","","","","","","","","","",,,,"",No,Brunei,"One or more countries, but not all countries",,,,,,All Residents (Citizen Residents + Foreign Residents),,,,Mandatory (Unspecified/Implied),"National Government,Other (Please specify in the text box)",41.3261144764049,38.2242505162358,35.2192253508263,75,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_2cCQqNdvT1MvDtz,https://www.straitstimes.com/asia/se-asia/coronavirus-brunei-reports-5-more-cases-bringing-total-to-six,2022-09-05,2022-09-05T23:59:59Z,11,0,0,,,,,,,,,152,49.6,0,-0.824784338474274,0.309990167617798,2,62,424473,13478181151.4485,1.32860255161715,12.9586036784704,23.324338003909,2,2,3.20711233533663,1.22264804919623,102733
R_1InI93J6u5x7jt0Ce,4707216Ce,new_entry,,,"","On March 13th, Brunei Universities suspend classroom learning",2020-03-13,2020-03-13,,The policy’s end date is unknown or unreported,Brunei,BRN,BN,National,1,,,,Closure and Regulation of Schools,Higher education institutions (i.e. degree granting institutions),,"",,,,,,"","","","","","","","","","","",,,,"",No,Brunei,"One or more countries, but not all countries",,,,,,All Residents (Citizen Residents + Foreign Residents),,,,Mandatory (Unspecified/Implied),National Government,44.772531874648,41.863191609966,38.9160992169882,67,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_r14RB0pAr6SAig9,https://thescoop.co/2020/03/13/covid-19-cases-more-than-double-to-reach-25/,2022-09-05,2022-09-05T23:59:59Z,37,0,0,,,,,,,,,152,49.6,0,-0.824784338474274,0.309990167617798,2,62,424473,13478181151.4485,1.32860255161715,12.9586036784704,23.324338003909,2,2,3.20711233533663,1.22264804919623,102733
R_T4LleYVkFoey29HFw,9161672Fw,new_entry,,,"","Brunei will restart in-school learning on June 2 for students who are sitting for public exams. Students in Year 6, 8, 10 Express, 11, 12 and 13 will be the first group to return to schools in the first phase of reopening, while other pupils will continue with online lessons. Teachers will conduct face-to-face learning from June 2-13 in the first phase of school reopening, after which the education ministry will decide whether to expand the number of returning students in the next phase.",2020-05-21,2020-06-02,2020-06-13,The policy has a clear end date,Brunei,BRN,BN,National,1,,,,Closure and Regulation of Schools,Secondary Schools (generally for children ages 10 to 18),,"",,,,,,"","","","","","","","","","","",,,Secondary Schools allowed to open with conditions,"Number of people on the school premises are limited (e.g. only 50 people allowed on school premises),Types of people on school premises are limited (e.g. no parents)",Yes,Brunei,"One or more countries, but not all countries",,,,,,All Residents (Citizen Residents + Foreign Residents),"People of a certain age (please note age range in the text entry),Essential workers (please note their occuption in the text entry where applicable)",,,Mandatory with Exceptions (Please list exceptions in the text entry),"National Government,Other (Please specify in the text box)",53.5306591583143,51.0373098684661,48.6000211961793,20,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_1kFwkKtSpI7L2Y4,https://thescoop.co/2020/05/21/brunei-partially-reopens-schools-on-june-2-as-coronavirus-concerns-ease/,2020-09-24,2020-09-24T13:48:00Z,141,2,138,,,,,,,,,152,49.6,0,-0.824784338474274,0.309990167617798,2,62,424473,13478181151.4485,1.32860255161715,12.9586036784704,23.324338003909,2,2,3.20711233533663,1.22264804919623,102733
R_T4LleYVkFoey29HCe,9161672Ce,new_entry,,,"","Brunei will restart in-school learning on June 2 for students who are sitting for public exams. Students in Year 6, 8, 10 Express, 11, 12 and 13 will be the first group to return to schools in the first phase of reopening, while other pupils will continue with online lessons. Teachers will conduct face-to-face learning from June 2-13 in the first phase of school reopening, after which the education ministry will decide whether to expand the number of returning students in the next phase.",2020-05-21,2020-06-02,2020-06-13,The policy has a clear end date,Brunei,BRN,BN,National,1,,,,Closure and Regulation of Schools,Higher education institutions (i.e. degree granting institutions),,"",,,,,,"","","","","","","","","","","",,,Higher education institutions allowed to open with conditions,"Types of people on school premises are limited (e.g. no parents) ,Special provisions exist for how teaching is done which applies to all teachers",Yes,Brunei,"One or more countries, but not all countries",,,,,,All Residents (Citizen Residents + Foreign Residents),"People of a certain age (please note age range in the text entry),Essential workers (please note their occuption in the text entry where applicable)",,,Mandatory with Exceptions (Please list exceptions in the text entry),"National Government,Other (Please specify in the text box)",53.5306591583143,51.0373098684661,48.6000211961793,20,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_1kFwkKtSpI7L2Y4,https://thescoop.co/2020/05/21/brunei-partially-reopens-schools-on-june-2-as-coronavirus-concerns-ease/,2020-09-24,2020-09-24T13:48:00Z,141,2,138,,,,,,,,,152,49.6,0,-0.824784338474274,0.309990167617798,2,62,424473,13478181151.4485,1.32860255161715,12.9586036784704,23.324338003909,2,2,3.20711233533663,1.22264804919623,102733
R_2UfnlFa339myNDpEl,4051694El,new_entry,,,"","Nursery, primary students in Brunei return to schools from June 18, 2020, in second phase of reopening, with safe distancing measures in place. ",2020-06-16,2020-06-18,2020-06-18,The policy has a clear end date,Brunei,BRN,BN,National,1,,,,Closure and Regulation of Schools,Preschool or childcare facilities (generally for children ages 5 and below),,"",,,,,,"","","","","","","","","","","",,,Preschool or childcare facilities allowed to open with conditions,Regular cleaning and sanitary procedures applied to classrooms (e.g. classrooms must be aired out after each class),Yes,Brunei,"One or more countries, but not all countries",,,,,,All Residents (Citizen Residents + Foreign Residents),"People of a certain age (please note age range in the text entry),Essential workers (please note their occuption in the text entry where applicable)",,,Mandatory (Unspecified/Implied),"National Government,Ministry/Department of Health,Other (Please specify in the text box)",53.6478523844689,51.4441291443083,49.0461964897556,29,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_33DSsibR8Sdafip,https://thescoop.co/2020/06/01/covid-19-live-updates-4/,2022-09-05,2022-09-05T23:59:59Z,141,3,138,,,,,,,,,152,49.6,0,-0.824784338474274,0.309990167617798,2,62,424473,13478181151.4485,1.32860255161715,12.9586036784704,23.324338003909,2,2,3.20711233533663,1.22264804919623,102733
R_2UfnlFa339myNDpEm,4051694Em,new_entry,,,"","Nursery, primary students in Brunei return to schools from June 18, 2020, in second phase of reopening, with safe distancing measures in place. ",2020-06-16,2020-06-18,2020-06-18,The policy has a clear end date,Brunei,BRN,BN,National,1,,,,Closure and Regulation of Schools,Primary Schools (generally for children ages 10 and below),,"",,,,,,"","","","","","","","","","","",,,Primary Schools allowed to open with conditions,Regular cleaning and sanitary procedures applied to classrooms (e.g. classrooms must be aired out after each class),Yes,Brunei,"One or more countries, but not all countries",,,,,,All Residents (Citizen Residents + Foreign Residents),"People of a certain age (please note age range in the text entry),Essential workers (please note their occuption in the text entry where applicable)",,,Mandatory (Unspecified/Implied),"National Government,Ministry/Department of Health,Other (Please specify in the text box)",53.6478523844689,51.4441291443083,49.0461964897556,29,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_33DSsibR8Sdafip,https://thescoop.co/2020/06/01/covid-19-live-updates-4/,2022-09-05,2022-09-05T23:59:59Z,141,3,138,,,,,,,,,152,49.6,0,-0.824784338474274,0.309990167617798,2,62,424473,13478181151.4485,1.32860255161715,12.9586036784704,23.324338003909,2,2,3.20711233533663,1.22264804919623,102733
R_3oyBWcMY8V23gnmFw,9161672Fw,update,Change of Policy,Relaxing,"","Brunei will restart in-school learning on June 2 for students who are sitting for public exams. Students in Year 6, 8, 10 Express, 11, 12 and 13 will be the first group to return to schools in the first phase of reopening, while other pupils will continue with online lessons. Teachers will conduct face-to-face learning from June 2-13 in the first phase of school reopening, after which the education ministry will decide whether to expand the number of returning students in the next phase.

All students are still expected to continue e-learning despite starting in-school classes, with schools determining the number of virtual learning days.
 UPDATE: Year 7, 9, 10 and sixth form centre students will be the next group to return to public and private schools in the education ministry’s third phase of reopening. All students are still expected to continue e-learning despite starting in-school classes, with schools determining the number of virtual learning days.

",2020-07-01,2020-07-04,,The policy has a clear end date,Brunei,BRN,BN,National,1,,,,Closure and Regulation of Schools,Secondary Schools (generally for children ages 10 to 18),,"",,,,,,"","","","","","","","","","","",,,Secondary Schools allowed to open with conditions,"Number of people on the school premises are limited (e.g. only 50 people allowed on school premises),Types of people on school premises are limited (e.g. no parents)",Yes,Brunei,"One or more countries, but not all countries",,,,,,All Residents (Citizen Residents + Foreign Residents),"People of a certain age (please note age range in the text entry),Essential workers (please note their occuption in the text entry where applicable)",,,Mandatory with Exceptions (Please list exceptions in the text entry),"National Government,Other (Please specify in the text box)",54.1122161053294,51.9600435758087,49.2590761259585,34,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_1kFwkKtSpI7L2Y4 ; https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_1QzJXp7fPeRfrZc,NA ; https://thescoop.co/2020/06/01/covid-19-live-updates-4/,2020-09-26,2020-09-26T03:56:02Z,141,3,138,,,,,,,,,152,49.6,0,-0.824784338474274,0.309990167617798,2,62,424473,13478181151.4485,1.32860255161715,12.9586036784704,23.324338003909,2,2,3.20711233533663,1.22264804919623,102733
R_3oyBWcMY8V23gnmCe,9161672Ce,update,Change of Policy,Relaxing,"","Brunei will restart in-school learning on June 2 for students who are sitting for public exams. Students in Year 6, 8, 10 Express, 11, 12 and 13 will be the first group to return to schools in the first phase of reopening, while other pupils will continue with online lessons. Teachers will conduct face-to-face learning from June 2-13 in the first phase of school reopening, after which the education ministry will decide whether to expand the number of returning students in the next phase.

All students are still expected to continue e-learning despite starting in-school classes, with schools determining the number of virtual learning days.
 UPDATE: Year 7, 9, 10 and sixth form centre students will be the next group to return to public and private schools in the education ministry’s third phase of reopening. All students are still expected to continue e-learning despite starting in-school classes, with schools determining the number of virtual learning days.

",2020-07-01,2020-07-04,,The policy has a clear end date,Brunei,BRN,BN,National,1,,,,Closure and Regulation of Schools,Higher education institutions (i.e. degree granting institutions),,"",,,,,,"","","","","","","","","","","",,,Higher education institutions allowed to open with conditions,"Types of people on school premises are limited (e.g. no parents) ,Special provisions exist for how teaching is done which applies to all teachers",Yes,Brunei,"One or more countries, but not all countries",,,,,,All Residents (Citizen Residents + Foreign Residents),"People of a certain age (please note age range in the text entry),Essential workers (please note their occuption in the text entry where applicable)",,,Mandatory with Exceptions (Please list exceptions in the text entry),"National Government,Other (Please specify in the text box)",54.1122161053294,51.9600435758087,49.2590761259585,34,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_1kFwkKtSpI7L2Y4 ; https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_1QzJXp7fPeRfrZc,NA ; https://thescoop.co/2020/06/01/covid-19-live-updates-4/,2020-09-26,2020-09-26T03:56:02Z,141,3,138,,,,,,,,,152,49.6,0,-0.824784338474274,0.309990167617798,2,62,424473,13478181151.4485,1.32860255161715,12.9586036784704,23.324338003909,2,2,3.20711233533663,1.22264804919623,102733
R_snCFNLZ2Te9WxxLCb,4596525,new_entry,,,"","Body temperature screening are done for passengers arriving in Brunei Darussalam via the Brunei International Airport, especially from cities in China, starting 21 January 2020.",2020-01-21,2020-01-21,,The policy’s end date is unknown or unreported,Brunei,BRN,BN,National,0,,,,External Border Restrictions,Health Screenings (e.g. temperature checks),,"",,,,,,"","","","","","","","","","","",,,,"",No,All countries,All countries,,,,,,All Travelers (Citizen Travelers + Foreign Travelers ),No special population targeted,Inbound,Flights,Mandatory (Unspecified/Implied),"National Government,Ministry/Department of Health",20.716101750313,16.7459416810848,13.0441414827928,124,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_27ldJRdexa6gA7O,http://www.moh.gov.bn/Shared%20Documents/2019%20ncov/FINAL%20Press%20Release%20(eng)%20-%20SOP%20MOH%20terhadap%20Influenza%20dan%20Mesej%20Tular%20mengenai%20Influenza%2024%20Jan%202020.pdf,2021-07-02,2021-07-02T05:45:33Z,,,,,,,,,,,,152,49.6,0,-0.824784338474274,0.309990167617798,2,62,424473,13478181151.4485,1.32860255161715,12.9586036784704,23.324338003909,2,2,3.20711233533663,1.22264804919623,102733
R_29ay6PuzSCXcBQAGl,1740571,new_entry,,,"","From 30 January 2020, visitors from Hubei province or anyone with People’s Republic of China passport issued in Hubei will not be permitted to enter Brunei Darussalam. Anyone who has been in Hubei Province within 14 days before arriving in Brunei Darussalam will not be permitted to enter the country, with the exception of citizens and permanent residents of Brunei Darussalam.

Residents of Brunei Darussalam are prohibited from traveling to
Hubei Province and are advised from making non-essential travel
to China.",2020-01-30,2020-01-30,,The policy’s end date is unknown or unreported,Brunei,BRN,BN,National,0,,,,External Border Restrictions,Total border crossing ban,,"",,,,,,"","","","","","","","","","","",,,,"",No,China,One or more provinces within one or more countries,,Hubei,,,,All (Travelers + Residents),No special population targeted,Inbound/Outbound,All kinds of transport,Mandatory with Legal Penalties (Jail Time),"National Government,Ministry/Department of Health",21.7507905857722,17.6040849396015,13.9108840766172,123,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_23dhxMOlOvNOlK2,http://www.moh.gov.bn/Shared%20Documents/2019%20ncov/1-2020%20Sekatan%20Perjalanan%2030.01.2020_EN.pdf,2021-07-02,2021-07-02T05:37:19Z,0,0,0,,,,,,,,,152,49.6,0,-0.824784338474274,0.309990167617798,2,62,424473,13478181151.4485,1.32860255161715,12.9586036784704,23.324338003909,2,2,3.20711233533663,1.22264804919623,102733
R_3UDhkXUMZUzVEhbCb,906499,new_entry,,,"","From 1 February 2020, travelers entering Brunei in all of its seven entry points will be subjected to temperature screening",2020-02-01,2020-02-01,,The policy’s end date is unknown or unreported,Brunei,BRN,BN,National,0,,,,External Border Restrictions,Health Screenings (e.g. temperature checks),,"",,,,,,"","","","","","","","","","","",,,,"",No,All countries,All countries,,,,,,All Travelers (Citizen Travelers + Foreign Travelers ),No special population targeted,Inbound,All kinds of transport,Mandatory (Unspecified/Implied),"National Government,Ministry/Department of Health",21.8523749955715,17.9096017996005,14.3480562604051,123,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_3efRS8MApI1ryKb,https://thescoop.co/2020/02/01/wuhan-coronavirus-moh-starts-health-screening-at-all-entry-points/,2021-07-02,2021-07-02T06:28:59Z,0,0,0,,,,,,,,,152,49.6,0,-0.824784338474274,0.309990167617798,2,62,424473,13478181151.4485,1.32860255161715,12.9586036784704,23.324338003909,2,2,3.20711233533663,1.22264804919623,102733
R_2VrQpanlZtszUvOCb,4596525,update,End of Policy,,"","Body temperature screening are done for passengers arriving in Brunei Darussalam via the Brunei International Airport, especially from cities in China, starting 21 January 2020.
 UPDATE: Thermal screening are done at all entry points in Brunei from 1 February 2020.",2020-02-01,2020-02-01,,The policy’s end date is unknown or unreported,Brunei,BRN,BN,National,0,,,,External Border Restrictions,Health Screenings (e.g. temperature checks),,"",,,,,,"","","","","","","","","","","",,,,"",No,All countries,All countries,,,,,,All Travelers (Citizen Travelers + Foreign Travelers ),No special population targeted,Inbound,Flights,Mandatory (Unspecified/Implied),"National Government,Ministry/Department of Health",21.8523749955715,17.9096017996005,14.3480562604051,123,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_27ldJRdexa6gA7O ; https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_2Y99Y9mX5VhtYGt,NA ; https://thescoop.co/2020/02/01/wuhan-coronavirus-moh-starts-health-screening-at-all-entry-points/,2021-07-02,2021-07-02T06:03:22Z,0,0,0,,,,,,,,,152,49.6,0,-0.824784338474274,0.309990167617798,2,62,424473,13478181151.4485,1.32860255161715,12.9586036784704,23.324338003909,2,2,3.20711233533663,1.22264804919623,102733
R_12Dy6XVyPYm6a9XGl,9491852,new_entry,,,"","From 11 February 2020, visitors from Hubei, Zhejiang and Jiangsu provinces are not permitted to enter Brunei Darussalam except citizens and permanent residents of Brunei Darussalam. Citizens are currently advised not to make any travel to Hubei, Zhejiang and Jiangsu provinces in the People’s Republic of China.",2020-02-11,2020-02-11,,The policy’s end date is unknown or unreported,Brunei,BRN,BN,National,0,,,,External Border Restrictions,Total border crossing ban,,"",,,,,,"","","","","","","","","","","",,,,"",No,China,One or more provinces within one or more countries,,"Hubei,Jiangsu,Zhejiang",,,,All (Travelers + Residents),No special population targeted,Inbound/Outbound,All kinds of transport,Mandatory with Legal Penalties (Jail Time),"National Government,Ministry/Department of Health",23.851032318508,19.837705360971,15.7173243720371,119,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_31tiS7VtI3IfqkM,http://www.moh.gov.bn/Shared%20Documents/2019%20ncov/2-2020%20Update%20Sekatan%20Perjalanan%2011.02.2020_EN.pdf,2021-07-02,2021-07-02T06:38:30Z,0,0,0,,,,,,,,,152,49.6,0,-0.824784338474274,0.309990167617798,2,62,424473,13478181151.4485,1.32860255161715,12.9586036784704,23.324338003909,2,2,3.20711233533663,1.22264804919623,102733
R_1gHAnVk5a1suZu1Gl,1740571,update,End of Policy,,"","From 30 January 2020, visitors from Hubei province or anyone with People’s Republic of China passport issued in Hubei will not be permitted to enter Brunei Darussalam. Anyone who has been in Hubei Province within 14 days before arriving in Brunei Darussalam will not be permitted to enter the country, with the exception of citizens and permanent residents of Brunei Darussalam.

Residents of Brunei Darussalam are prohibited from traveling to
Hubei Province and are advised from making non-essential travel
to China.
 UPDATE: Visitors from Hubei, Zhejiang and Jiangsu provinces are not permitted to enter Brunei Darussalam after 11 February 2020.",2020-02-11,2020-02-11,,The policy’s end date is unknown or unreported,Brunei,BRN,BN,National,0,,,,External Border Restrictions,Total border crossing ban,,"",,,,,,"","","","","","","","","","","",,,,"",No,China,One or more provinces within one or more countries,,Hubei,,,,All (Travelers + Residents),No special population targeted,Inbound/Outbound,All kinds of transport,Mandatory with Legal Penalties (Jail Time),"National Government,Ministry/Department of Health",23.851032318508,19.837705360971,15.7173243720371,119,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_23dhxMOlOvNOlK2 ; https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_3EWio20xu6lOVUy,NA ; http://www.moh.gov.bn/Shared%20Documents/2019%20ncov/2-2020%20Update%20Sekatan%20Perjalanan%2011.02.2020_EN.pdf,2021-07-02,2021-07-02T06:27:56Z,0,0,0,,,,,,,,,152,49.6,0,-0.824784338474274,0.309990167617798,2,62,424473,13478181151.4485,1.32860255161715,12.9586036784704,23.324338003909,2,2,3.20711233533663,1.22264804919623,102733
R_vv1nU7OjczdoJ2xGl,4543704,new_entry,,,"","On Saturday, February 15, Royal Brunei Airlines announced it is suspending flights to and from mainland China, and decreasing service to other Asian destinations due to decreased demand from the novel coronavirus (COVID-19) outbreak. Other impacted areas include Hong Kong, Indonesia, Philippines, Singapore, Taiwan, Thailand, and Vietnam. The decision is effective February 15 through Tuesday, March 31.",2020-02-15,2020-02-15,2020-03-31,The policy has a clear end date,Brunei,BRN,BN,National,0,,,,External Border Restrictions,Total border crossing ban,,"",,,,,,"","","","","","","","","","","",,,,"",No,China,"One or more countries, but not all countries",,,,,,All Travelers (Citizen Travelers + Foreign Travelers ),No special population targeted,Inbound/Outbound,Flights,Mandatory (Unspecified/Implied),"National Government,Other (Please specify in the text box)",25.0414031894412,21.0080177983233,16.8125955969328,118,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_ymEbTfPRgHaAA1j,https://crisis24.garda.com/alerts/2020/02/brunei-royal-brunei-airlines-suspends-flights-to-and-from-mainland-china-effective-february-15-update-2,2022-07-04,2022-07-04T03:02:22Z,0,0,0,,,,,,,,,152,49.6,0,-0.824784338474274,0.309990167617798,2,62,424473,13478181151.4485,1.32860255161715,12.9586036784704,23.324338003909,2,2,3.20711233533663,1.22264804919623,102733
R_1o0znrryjjseeXhGl,962451,new_entry,,,"","On March 4, 2020, the Brunei government warned nationals to avoid non-essential travel to mainland China, Italy, Islamic Republic of Iran, Republic of Korea, France, Germany, Hong Kong SAR (China), Japan, Singapore, Macao SAR (China), Malaysia (excluding Sabah, Sarawak and Labuan), Taiwan (China), Thailand, the United Kingdom, the United States of America, and Vietnam.",2020-03-04,2020-03-04,,The policy’s end date is unknown or unreported,Brunei,BRN,BN,National,0,,,,External Border Restrictions,Total border crossing ban,,"",,,,,,"","","","","","","","","","","",,,,"",No,"China,France,Germany,Hong Kong,Iran,Italy,Japan,Macau,Malaysia,Singapore,South Korea,Thailand,United Kingdom,United States,Vietnam","One or more countries, but not all countries",,,,,,All Citizens (Citizen Residents + Citizen Travelers),No special population targeted,Inbound,All kinds of transport,Voluntary/Recommended but No Penalties,"National Government,Ministry/Department of Health",33.8594191152572,30.3130316811307,26.319611897021,102,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_29uZe43xSYAqdyB,http://www.moh.gov.bn/Shared%20Documents/2019%20ncov/press%20releases/FINAL%20PRESS%20RELEASE%20CoVID-19%2005-03-2020%20(english).pdf,2021-11-03,2021-11-03T08:22:45Z,0,0,0,,,,,,,,,152,49.6,0,-0.824784338474274,0.309990167617798,2,62,424473,13478181151.4485,1.32860255161715,12.9586036784704,23.324338003909,2,2,3.20711233533663,1.22264804919623,102733
R_yVoQTDWPBh9zHI5Gl,8240472,new_entry,,,"","Starting from 5 March 2020, any visitors except citizen and permanent residents of Brunei Darussalam who has been in the Islamic Republic of Iran, Italy and Hubei, Jiangsu and Zhejiang province in China within 14 days of arriving in Brunei Darussalam are not allowed into this country including for transit purposes",2020-03-05,2020-03-05,,The policy’s end date is unknown or unreported,Brunei,BRN,BN,National,0,,,,External Border Restrictions,Total border crossing ban,,"",,,,,,"","","","","","","","","","","",,,,"",No,"China,Iran,Italy",One or more provinces within one or more countries,,"Hubei,Jiangsu,Zhejiang",,,,Foreign Travelers,No special population targeted,Inbound,All kinds of transport,Mandatory (Unspecified/Implied),"National Government,Ministry/Department of Health",34.6876868655352,31.1821201726569,27.4816783767953,101,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_3iniJpBB0HOX87G,http://www.moh.gov.bn/Shared%20Documents/2019%20ncov/press%20releases/FINAL%20PRESS%20RELEASE%20CoVID-19%2005-03-2020%20(english).pdf,2021-07-05,2021-07-05T04:08:58Z,0,0,0,,,,,,,,,152,49.6,0,-0.824784338474274,0.309990167617798,2,62,424473,13478181151.4485,1.32860255161715,12.9586036784704,23.324338003909,2,2,3.20711233533663,1.22264804919623,102733
