record_id,policy_id,entry_type,update_type,update_level,update_level_var,description,date_announced,date_start,date_end,date_end_spec,country,ISO_A3,ISO_A2,init_country_level,domestic_policy,province,ISO_L2,city,type,type_sub_cat,type_new_admin_coop,type_vac_cat,type_vac_mix,type_vac_reg,type_vac_purchase,type_vac_group,type_vac_group_rank,type_vac_who_pays,type_vac_dist_admin,type_vac_loc,type_vac_cost_num,type_vac_cost_scale,type_vac_cost_unit,type_vac_cost_gov_perc,type_vac_amt_num,type_vac_amt_scale,type_vac_amt_unit,type_vac_amt_gov_perc,type_text,institution_cat,institution_status,institution_conditions,target_init_same,target_country,target_geog_level,target_region,target_province,target_city,target_intl_org,target_other,target_who_what,target_who_gen,target_direction,travel_mechanism,compliance,enforcer,dist_index_high_est,dist_index_med_est,dist_index_low_est,dist_index_country_rank,pdf_link,link,date_updated,recorded_date,confirmed_cases,deaths,recovered,new_tests,total_tests,total_tests_per_thousand,tests_units,total_vaccinations,daily_vaccinations,total_vaccinations_per_hundred,daily_vaccinations_per_million,Rank_FP,Score_FP,muni_IDC,dispersive_IDC,constraining_IDC,sfi_SFI,ti_cpi_TI,pop_WDI_PW,gdp_WDI_PW,growth_WDI_PW,lnpop_WDI_PW,lngdp_WDI_PW,disap_FA,polpris_FA,latentmean_FA,transparencyindex_HR,EmigrantStock_EMS
R_24qPmwUtuGPyG2yEl,3183625El,new_entry,,,"","Algerian president has ordered primary schools, kindergartens, vocational training centers, universities and koranic schools in both public and private sectors to close throughout the country. The closure started on 12/03/2020.",2020-03-12,2020-03-12,2020-04-05,The policy has a clear end date,Algeria,DZA,DZ,National,1,,,,Closure and Regulation of Schools,Preschool or childcare facilities (generally for children ages 5 and below),,"",,,,,,"","","","","","","","","","","",,,,"",Yes,Algeria,"One or more countries, but not all countries",,,,,,All Residents (Citizen Residents + Foreign Residents),,,,Mandatory with Fines,National Government,47.1453395173163,42.6127493601414,37.9398734665693,90,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_3kGm2FUmMpk6FqK ; https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_aXZ34yJB2J3vbQl,https://www.bbc.com/news/topics/cp7r8vglgyet/algeria,2020-07-21,2020-07-21T14:35:43Z,24,1,8,,,,,,,,,146,45.5,1,-0.435670435428619,0.548431634902954,11,33,41389198,198414298116.561,1.29999999999997,17.5385304868762,26.0136230963202,2,1,0.280441492701272,-0.343795143330409,239473
R_24qPmwUtuGPyG2yEm,3183625Em,new_entry,,,"","Algerian president has ordered primary schools, kindergartens, vocational training centers, universities and koranic schools in both public and private sectors to close throughout the country. The closure started on 12/03/2020.",2020-03-12,2020-03-12,2020-04-05,The policy has a clear end date,Algeria,DZA,DZ,National,1,,,,Closure and Regulation of Schools,Primary Schools (generally for children ages 10 and below),,"",,,,,,"","","","","","","","","","","",,,,"",Yes,Algeria,"One or more countries, but not all countries",,,,,,All Residents (Citizen Residents + Foreign Residents),,,,Mandatory with Fines,National Government,47.1453395173163,42.6127493601414,37.9398734665693,90,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_3kGm2FUmMpk6FqK ; https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_aXZ34yJB2J3vbQl,https://www.bbc.com/news/topics/cp7r8vglgyet/algeria,2020-07-21,2020-07-21T14:35:43Z,24,1,8,,,,,,,,,146,45.5,1,-0.435670435428619,0.548431634902954,11,33,41389198,198414298116.561,1.29999999999997,17.5385304868762,26.0136230963202,2,1,0.280441492701272,-0.343795143330409,239473
R_24qPmwUtuGPyG2yFw,3183625Fw,new_entry,,,"","Algerian president has ordered primary schools, kindergartens, vocational training centers, universities and koranic schools in both public and private sectors to close throughout the country. The closure started on 12/03/2020.",2020-03-12,2020-03-12,2020-04-05,The policy has a clear end date,Algeria,DZA,DZ,National,1,,,,Closure and Regulation of Schools,Secondary Schools (generally for children ages 10 to 18),,"",,,,,,"","","","","","","","","","","",,,,"",Yes,Algeria,"One or more countries, but not all countries",,,,,,All Residents (Citizen Residents + Foreign Residents),,,,Mandatory with Fines,National Government,47.1453395173163,42.6127493601414,37.9398734665693,90,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_3kGm2FUmMpk6FqK ; https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_aXZ34yJB2J3vbQl,https://www.bbc.com/news/topics/cp7r8vglgyet/algeria,2020-07-21,2020-07-21T14:35:43Z,24,1,8,,,,,,,,,146,45.5,1,-0.435670435428619,0.548431634902954,11,33,41389198,198414298116.561,1.29999999999997,17.5385304868762,26.0136230963202,2,1,0.280441492701272,-0.343795143330409,239473
R_24qPmwUtuGPyG2yCe,3183625Ce,new_entry,,,"","Algerian president has ordered primary schools, kindergartens, vocational training centers, universities and koranic schools in both public and private sectors to close throughout the country. The closure started on 12/03/2020.",2020-03-12,2020-03-12,2020-04-05,The policy has a clear end date,Algeria,DZA,DZ,National,1,,,,Closure and Regulation of Schools,Higher education institutions (i.e. degree granting institutions),,"",,,,,,"","","","","","","","","","","",,,,"",Yes,Algeria,"One or more countries, but not all countries",,,,,,All Residents (Citizen Residents + Foreign Residents),,,,Mandatory with Fines,National Government,47.1453395173163,42.6127493601414,37.9398734665693,90,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_3kGm2FUmMpk6FqK ; https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_aXZ34yJB2J3vbQl,https://www.bbc.com/news/topics/cp7r8vglgyet/algeria,2020-07-21,2020-07-21T14:35:43Z,24,1,8,,,,,,,,,146,45.5,1,-0.435670435428619,0.548431634902954,11,33,41389198,198414298116.561,1.29999999999997,17.5385304868762,26.0136230963202,2,1,0.280441492701272,-0.343795143330409,239473
R_237YOLLPvTAIN8yEl,3183625El,update,Change of Policy,Strengthening,timing of policy strengthening,"In Algeria, the President of the Republic Abdelmadjid Tebboune announced on 31st of March the extension of the closure of schools, universities and vocational training centers until April 5, as part of the measures of prevention and fight against the spread of coronavirus. UPDATE: The original policy was set to end April 29th 2020, but on April 27th 2020 it was extended to May 14th 2020.",2020-04-27,2020-03-30,2020-05-14,The policy has a clear end date,Algeria,DZA,DZ,National,1,,,,Closure and Regulation of Schools,Preschool or childcare facilities (generally for children ages 5 and below),,"",,,,,,"","","","","","","","","","","",,,Preschool or childcare facilities closed/locked down,"",Yes,Algeria,"One or more countries, but not all countries",,,,,,All Residents (Citizen Residents + Foreign Residents),,,,Mandatory (Unspecified/Implied),National Government,86.4986899505502,83.4250166570668,80.3985047577759,136,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_3kGm2FUmMpk6FqK ; https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_1obzvuytshO2mKG,NA ; http://www.aps.dz/en/algeria/33777-coronavirus-extending-closure-of-schools-universities-and-training-centers ; https://www.aa.com.tr/ar/%D8%A7%D9%84%D8%AF%D9%88%D9%84-%D8%A7%D9%84%D8%B9%D8%B1%D8%A8%D9%8A%D8%A9/%D8%A7%D9%84%D8%AC%D8%B2%D8%A7%D8%A6%D8%B1-%D8%AA%D9%85%D8%AF%D8%AF-%D8%AD%D8%AC%D8%B1-%D9%83%D9%88%D8%B1%D9%88%D9%86%D8%A7-%D8%A5%D9%84%D9%89-14-%D9%85%D8%A7%D9%8A%D9%88/1820577,2022-03-23,2022-03-23T17:41:02Z,584,35,37,,,,,,,,,146,45.5,1,-0.435670435428619,0.548431634902954,11,33,41389198,198414298116.561,1.29999999999997,17.5385304868762,26.0136230963202,2,1,0.280441492701272,-0.343795143330409,239473
R_237YOLLPvTAIN8yEm,3183625Em,update,Change of Policy,Strengthening,timing of policy strengthening,"In Algeria, the President of the Republic Abdelmadjid Tebboune announced on 31st of March the extension of the closure of schools, universities and vocational training centers until April 5, as part of the measures of prevention and fight against the spread of coronavirus. UPDATE: The original policy was set to end April 29th 2020, but on April 27th 2020 it was extended to May 14th 2020.",2020-04-27,2020-03-30,2020-05-14,The policy has a clear end date,Algeria,DZA,DZ,National,1,,,,Closure and Regulation of Schools,Primary Schools (generally for children ages 10 and below),,"",,,,,,"","","","","","","","","","","",,,Primary Schools closed/locked down,"",Yes,Algeria,"One or more countries, but not all countries",,,,,,All Residents (Citizen Residents + Foreign Residents),,,,Mandatory (Unspecified/Implied),National Government,86.4986899505502,83.4250166570668,80.3985047577759,136,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_3kGm2FUmMpk6FqK ; https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_1obzvuytshO2mKG,NA ; http://www.aps.dz/en/algeria/33777-coronavirus-extending-closure-of-schools-universities-and-training-centers ; https://www.aa.com.tr/ar/%D8%A7%D9%84%D8%AF%D9%88%D9%84-%D8%A7%D9%84%D8%B9%D8%B1%D8%A8%D9%8A%D8%A9/%D8%A7%D9%84%D8%AC%D8%B2%D8%A7%D8%A6%D8%B1-%D8%AA%D9%85%D8%AF%D8%AF-%D8%AD%D8%AC%D8%B1-%D9%83%D9%88%D8%B1%D9%88%D9%86%D8%A7-%D8%A5%D9%84%D9%89-14-%D9%85%D8%A7%D9%8A%D9%88/1820577,2022-03-23,2022-03-23T17:41:02Z,584,35,37,,,,,,,,,146,45.5,1,-0.435670435428619,0.548431634902954,11,33,41389198,198414298116.561,1.29999999999997,17.5385304868762,26.0136230963202,2,1,0.280441492701272,-0.343795143330409,239473
R_237YOLLPvTAIN8yFw,3183625Fw,update,Change of Policy,Strengthening,timing of policy strengthening,"In Algeria, the President of the Republic Abdelmadjid Tebboune announced on 31st of March the extension of the closure of schools, universities and vocational training centers until April 5, as part of the measures of prevention and fight against the spread of coronavirus. UPDATE: The original policy was set to end April 29th 2020, but on April 27th 2020 it was extended to May 14th 2020.",2020-04-27,2020-03-30,2020-05-14,The policy has a clear end date,Algeria,DZA,DZ,National,1,,,,Closure and Regulation of Schools,Secondary Schools (generally for children ages 10 to 18),,"",,,,,,"","","","","","","","","","","",,,Secondary Schools closed/locked down,"",Yes,Algeria,"One or more countries, but not all countries",,,,,,All Residents (Citizen Residents + Foreign Residents),,,,Mandatory (Unspecified/Implied),National Government,86.4986899505502,83.4250166570668,80.3985047577759,136,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_3kGm2FUmMpk6FqK ; https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_1obzvuytshO2mKG,NA ; http://www.aps.dz/en/algeria/33777-coronavirus-extending-closure-of-schools-universities-and-training-centers ; https://www.aa.com.tr/ar/%D8%A7%D9%84%D8%AF%D9%88%D9%84-%D8%A7%D9%84%D8%B9%D8%B1%D8%A8%D9%8A%D8%A9/%D8%A7%D9%84%D8%AC%D8%B2%D8%A7%D8%A6%D8%B1-%D8%AA%D9%85%D8%AF%D8%AF-%D8%AD%D8%AC%D8%B1-%D9%83%D9%88%D8%B1%D9%88%D9%86%D8%A7-%D8%A5%D9%84%D9%89-14-%D9%85%D8%A7%D9%8A%D9%88/1820577,2022-03-23,2022-03-23T17:41:02Z,584,35,37,,,,,,,,,146,45.5,1,-0.435670435428619,0.548431634902954,11,33,41389198,198414298116.561,1.29999999999997,17.5385304868762,26.0136230963202,2,1,0.280441492701272,-0.343795143330409,239473
R_237YOLLPvTAIN8yCe,3183625Ce,update,Change of Policy,Strengthening,timing of policy strengthening,"In Algeria, the President of the Republic Abdelmadjid Tebboune announced on 31st of March the extension of the closure of schools, universities and vocational training centers until April 5, as part of the measures of prevention and fight against the spread of coronavirus. UPDATE: The original policy was set to end April 29th 2020, but on April 27th 2020 it was extended to May 14th 2020.",2020-04-27,2020-03-30,2020-05-14,The policy has a clear end date,Algeria,DZA,DZ,National,1,,,,Closure and Regulation of Schools,Higher education institutions (i.e. degree granting institutions),,"",,,,,,"","","","","","","","","","","",,,Higher education institutions closed/locked down,"",Yes,Algeria,"One or more countries, but not all countries",,,,,,All Residents (Citizen Residents + Foreign Residents),,,,Mandatory (Unspecified/Implied),National Government,86.4986899505502,83.4250166570668,80.3985047577759,136,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_3kGm2FUmMpk6FqK ; https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_1obzvuytshO2mKG,NA ; http://www.aps.dz/en/algeria/33777-coronavirus-extending-closure-of-schools-universities-and-training-centers ; https://www.aa.com.tr/ar/%D8%A7%D9%84%D8%AF%D9%88%D9%84-%D8%A7%D9%84%D8%B9%D8%B1%D8%A8%D9%8A%D8%A9/%D8%A7%D9%84%D8%AC%D8%B2%D8%A7%D8%A6%D8%B1-%D8%AA%D9%85%D8%AF%D8%AF-%D8%AD%D8%AC%D8%B1-%D9%83%D9%88%D8%B1%D9%88%D9%86%D8%A7-%D8%A5%D9%84%D9%89-14-%D9%85%D8%A7%D9%8A%D9%88/1820577,2022-03-23,2022-03-23T17:41:02Z,584,35,37,,,,,,,,,146,45.5,1,-0.435670435428619,0.548431634902954,11,33,41389198,198414298116.561,1.29999999999997,17.5385304868762,26.0136230963202,2,1,0.280441492701272,-0.343795143330409,239473
R_30vmzqQRh4MBHoaEl,3183625El,update,Change of Policy,Strengthening,timing of policy strengthening,"In Algeria, the President of the Republic Abdelmadjid Tebboune announced on 31st of March the extension of the closure of schools, universities and vocational training centers until April 5, as part of the measures of prevention and fight against the spread of coronavirus. UPDATE: The original policy should last until further notice, it has been extended until 4th of April.",2020-03-31,2020-03-31,2020-04-05,The policy has a clear end date,Algeria,DZA,DZ,National,1,,,,Closure and Regulation of Schools,Preschool or childcare facilities (generally for children ages 5 and below),,"",,,,,,"","","","","","","","","","","",,,Preschool or childcare facilities closed/locked down,"",Yes,Algeria,"One or more countries, but not all countries",,,,,,All Residents (Citizen Residents + Foreign Residents),,,,Mandatory (Unspecified/Implied),National Government,87.3663408927931,84.3976518035029,81.19175795671,138,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_3kGm2FUmMpk6FqK ; https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_1eFsu3aOJlq7v9K,NA ; http://www.aps.dz/en/algeria/33777-coronavirus-extending-closure-of-schools-universities-and-training-centers,2020-09-19,2020-09-19T15:28:59Z,716,44,46,,,,,,,,,146,45.5,1,-0.435670435428619,0.548431634902954,11,33,41389198,198414298116.561,1.29999999999997,17.5385304868762,26.0136230963202,2,1,0.280441492701272,-0.343795143330409,239473
R_30vmzqQRh4MBHoaEm,3183625Em,update,Change of Policy,Strengthening,timing of policy strengthening,"In Algeria, the President of the Republic Abdelmadjid Tebboune announced on 31st of March the extension of the closure of schools, universities and vocational training centers until April 5, as part of the measures of prevention and fight against the spread of coronavirus. UPDATE: The original policy should last until further notice, it has been extended until 4th of April.",2020-03-31,2020-03-31,2020-04-05,The policy has a clear end date,Algeria,DZA,DZ,National,1,,,,Closure and Regulation of Schools,Primary Schools (generally for children ages 10 and below),,"",,,,,,"","","","","","","","","","","",,,Primary Schools closed/locked down,"",Yes,Algeria,"One or more countries, but not all countries",,,,,,All Residents (Citizen Residents + Foreign Residents),,,,Mandatory (Unspecified/Implied),National Government,87.3663408927931,84.3976518035029,81.19175795671,138,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_3kGm2FUmMpk6FqK ; https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_1eFsu3aOJlq7v9K,NA ; http://www.aps.dz/en/algeria/33777-coronavirus-extending-closure-of-schools-universities-and-training-centers,2020-09-19,2020-09-19T15:28:59Z,716,44,46,,,,,,,,,146,45.5,1,-0.435670435428619,0.548431634902954,11,33,41389198,198414298116.561,1.29999999999997,17.5385304868762,26.0136230963202,2,1,0.280441492701272,-0.343795143330409,239473
R_30vmzqQRh4MBHoaFw,3183625Fw,update,Change of Policy,Strengthening,timing of policy strengthening,"In Algeria, the President of the Republic Abdelmadjid Tebboune announced on 31st of March the extension of the closure of schools, universities and vocational training centers until April 5, as part of the measures of prevention and fight against the spread of coronavirus. UPDATE: The original policy should last until further notice, it has been extended until 4th of April.",2020-03-31,2020-03-31,2020-04-05,The policy has a clear end date,Algeria,DZA,DZ,National,1,,,,Closure and Regulation of Schools,Secondary Schools (generally for children ages 10 to 18),,"",,,,,,"","","","","","","","","","","",,,Secondary Schools closed/locked down,"",Yes,Algeria,"One or more countries, but not all countries",,,,,,All Residents (Citizen Residents + Foreign Residents),,,,Mandatory (Unspecified/Implied),National Government,87.3663408927931,84.3976518035029,81.19175795671,138,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_3kGm2FUmMpk6FqK ; https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_1eFsu3aOJlq7v9K,NA ; http://www.aps.dz/en/algeria/33777-coronavirus-extending-closure-of-schools-universities-and-training-centers,2020-09-19,2020-09-19T15:28:59Z,716,44,46,,,,,,,,,146,45.5,1,-0.435670435428619,0.548431634902954,11,33,41389198,198414298116.561,1.29999999999997,17.5385304868762,26.0136230963202,2,1,0.280441492701272,-0.343795143330409,239473
R_30vmzqQRh4MBHoaCe,3183625Ce,update,Change of Policy,Strengthening,timing of policy strengthening,"In Algeria, the President of the Republic Abdelmadjid Tebboune announced on 31st of March the extension of the closure of schools, universities and vocational training centers until April 5, as part of the measures of prevention and fight against the spread of coronavirus. UPDATE: The original policy should last until further notice, it has been extended until 4th of April.",2020-03-31,2020-03-31,2020-04-05,The policy has a clear end date,Algeria,DZA,DZ,National,1,,,,Closure and Regulation of Schools,Higher education institutions (i.e. degree granting institutions),,"",,,,,,"","","","","","","","","","","",,,Higher education institutions closed/locked down,"",Yes,Algeria,"One or more countries, but not all countries",,,,,,All Residents (Citizen Residents + Foreign Residents),,,,Mandatory (Unspecified/Implied),National Government,87.3663408927931,84.3976518035029,81.19175795671,138,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_3kGm2FUmMpk6FqK ; https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_1eFsu3aOJlq7v9K,NA ; http://www.aps.dz/en/algeria/33777-coronavirus-extending-closure-of-schools-universities-and-training-centers,2020-09-19,2020-09-19T15:28:59Z,716,44,46,,,,,,,,,146,45.5,1,-0.435670435428619,0.548431634902954,11,33,41389198,198414298116.561,1.29999999999997,17.5385304868762,26.0136230963202,2,1,0.280441492701272,-0.343795143330409,239473
R_24H6Bg9umefpH26El,3183625El,update,Change of Policy,Strengthening,timing of policy strengthening,"In Algeria, the President of the Republic Abdelmadjid Tebboune announced on 31st of March the extension of the closure of schools, universities and vocational training centers until April 5, as part of the measures of prevention and fight against the spread of coronavirus. UPDATE: The original policy was set to end April 5th 2020, on April 1st 2020, it was announced that it would be extended until April 19th 2020.",2020-04-01,2020-04-06,2022-04-19,The policy has a clear end date,Algeria,DZA,DZ,National,1,,,,Closure and Regulation of Schools,Preschool or childcare facilities (generally for children ages 5 and below),,"",,,,,,"","","","","","","","","","","",,,Preschool or childcare facilities closed/locked down,"",Yes,Algeria,"One or more countries, but not all countries",,,,,,All Residents (Citizen Residents + Foreign Residents),,,,Mandatory (Unspecified/Implied),National Government,87.7313511091734,84.8893988279361,81.9527942201677,138,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_3kGm2FUmMpk6FqK ; https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_RDoVcGG4x9GAkXT,NA ; http://www.aps.dz/en/algeria/33777-coronavirus-extending-closure-of-schools-universities-and-training-centers ; http://www.premier-ministre.gov.dz/fr/premier-ministre/activites/com-01-04-2020-fr.html,2022-03-23,2022-03-23T16:39:07Z,1423,173,90,,,,,,,,,146,45.5,1,-0.435670435428619,0.548431634902954,11,33,41389198,198414298116.561,1.29999999999997,17.5385304868762,26.0136230963202,2,1,0.280441492701272,-0.343795143330409,239473
R_24H6Bg9umefpH26Em,3183625Em,update,Change of Policy,Strengthening,timing of policy strengthening,"In Algeria, the President of the Republic Abdelmadjid Tebboune announced on 31st of March the extension of the closure of schools, universities and vocational training centers until April 5, as part of the measures of prevention and fight against the spread of coronavirus. UPDATE: The original policy was set to end April 5th 2020, on April 1st 2020, it was announced that it would be extended until April 19th 2020.",2020-04-01,2020-04-06,2022-04-19,The policy has a clear end date,Algeria,DZA,DZ,National,1,,,,Closure and Regulation of Schools,Primary Schools (generally for children ages 10 and below),,"",,,,,,"","","","","","","","","","","",,,Primary Schools closed/locked down,"",Yes,Algeria,"One or more countries, but not all countries",,,,,,All Residents (Citizen Residents + Foreign Residents),,,,Mandatory (Unspecified/Implied),National Government,87.7313511091734,84.8893988279361,81.9527942201677,138,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_3kGm2FUmMpk6FqK ; https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_RDoVcGG4x9GAkXT,NA ; http://www.aps.dz/en/algeria/33777-coronavirus-extending-closure-of-schools-universities-and-training-centers ; http://www.premier-ministre.gov.dz/fr/premier-ministre/activites/com-01-04-2020-fr.html,2022-03-23,2022-03-23T16:39:07Z,1423,173,90,,,,,,,,,146,45.5,1,-0.435670435428619,0.548431634902954,11,33,41389198,198414298116.561,1.29999999999997,17.5385304868762,26.0136230963202,2,1,0.280441492701272,-0.343795143330409,239473
R_24H6Bg9umefpH26Fw,3183625Fw,update,Change of Policy,Strengthening,timing of policy strengthening,"In Algeria, the President of the Republic Abdelmadjid Tebboune announced on 31st of March the extension of the closure of schools, universities and vocational training centers until April 5, as part of the measures of prevention and fight against the spread of coronavirus. UPDATE: The original policy was set to end April 5th 2020, on April 1st 2020, it was announced that it would be extended until April 19th 2020.",2020-04-01,2020-04-06,2022-04-19,The policy has a clear end date,Algeria,DZA,DZ,National,1,,,,Closure and Regulation of Schools,Secondary Schools (generally for children ages 10 to 18),,"",,,,,,"","","","","","","","","","","",,,Secondary Schools closed/locked down,"",Yes,Algeria,"One or more countries, but not all countries",,,,,,All Residents (Citizen Residents + Foreign Residents),,,,Mandatory (Unspecified/Implied),National Government,87.7313511091734,84.8893988279361,81.9527942201677,138,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_3kGm2FUmMpk6FqK ; https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_RDoVcGG4x9GAkXT,NA ; http://www.aps.dz/en/algeria/33777-coronavirus-extending-closure-of-schools-universities-and-training-centers ; http://www.premier-ministre.gov.dz/fr/premier-ministre/activites/com-01-04-2020-fr.html,2022-03-23,2022-03-23T16:39:07Z,1423,173,90,,,,,,,,,146,45.5,1,-0.435670435428619,0.548431634902954,11,33,41389198,198414298116.561,1.29999999999997,17.5385304868762,26.0136230963202,2,1,0.280441492701272,-0.343795143330409,239473
R_24H6Bg9umefpH26Ce,3183625Ce,update,Change of Policy,Strengthening,timing of policy strengthening,"In Algeria, the President of the Republic Abdelmadjid Tebboune announced on 31st of March the extension of the closure of schools, universities and vocational training centers until April 5, as part of the measures of prevention and fight against the spread of coronavirus. UPDATE: The original policy was set to end April 5th 2020, on April 1st 2020, it was announced that it would be extended until April 19th 2020.",2020-04-01,2020-04-06,2022-04-19,The policy has a clear end date,Algeria,DZA,DZ,National,1,,,,Closure and Regulation of Schools,Higher education institutions (i.e. degree granting institutions),,"",,,,,,"","","","","","","","","","","",,,Higher education institutions closed/locked down,"",Yes,Algeria,"One or more countries, but not all countries",,,,,,All Residents (Citizen Residents + Foreign Residents),,,,Mandatory (Unspecified/Implied),National Government,87.7313511091734,84.8893988279361,81.9527942201677,138,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_3kGm2FUmMpk6FqK ; https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_RDoVcGG4x9GAkXT,NA ; http://www.aps.dz/en/algeria/33777-coronavirus-extending-closure-of-schools-universities-and-training-centers ; http://www.premier-ministre.gov.dz/fr/premier-ministre/activites/com-01-04-2020-fr.html,2022-03-23,2022-03-23T16:39:07Z,1423,173,90,,,,,,,,,146,45.5,1,-0.435670435428619,0.548431634902954,11,33,41389198,198414298116.561,1.29999999999997,17.5385304868762,26.0136230963202,2,1,0.280441492701272,-0.343795143330409,239473
R_0rNAfob3Fmohs8pEl,3183625El,update,Change of Policy,Strengthening,timing of policy strengthening,"In Algeria, the President of the Republic Abdelmadjid Tebboune announced on 31st of March the extension of the closure of schools, universities and vocational training centers until April 5, as part of the measures of prevention and fight against the spread of coronavirus. UPDATE: The original policy was set to end April 19th 2020, on April 18th 2020 it was announced that the policy would be extended until April 29th 2020.",2020-04-18,2020-04-19,2020-04-29,The policy has a clear end date,Algeria,DZA,DZ,National,1,,,,Closure and Regulation of Schools,Preschool or childcare facilities (generally for children ages 5 and below),,"",,,,,,"","","","","","","","","","","",,,Preschool or childcare facilities closed/locked down,"",Yes,Algeria,"One or more countries, but not all countries",,,,,,All Residents (Citizen Residents + Foreign Residents),,,,Mandatory (Unspecified/Implied),National Government,85.0940460842846,81.6606629590953,78.5498421891916,131,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_3kGm2FUmMpk6FqK ; https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_1jPP4DKkI0QLrYw,NA ; http://www.aps.dz/en/algeria/33777-coronavirus-extending-closure-of-schools-universities-and-training-centers ; https://www.aps.dz/algerie/104201-education-la-suspension-des-cours-prolongee-au-29-avril?utm_source=feedburner&utm_medium=feed&utm_campaign=Feed%3A+aps-algerie+%28APS+-+ALG%C3%89RIE%29,2022-03-23,2022-03-23T17:22:15Z,2629,375,1047,,,,,,,,,146,45.5,1,-0.435670435428619,0.548431634902954,11,33,41389198,198414298116.561,1.29999999999997,17.5385304868762,26.0136230963202,2,1,0.280441492701272,-0.343795143330409,239473
R_0rNAfob3Fmohs8pEm,3183625Em,update,Change of Policy,Strengthening,timing of policy strengthening,"In Algeria, the President of the Republic Abdelmadjid Tebboune announced on 31st of March the extension of the closure of schools, universities and vocational training centers until April 5, as part of the measures of prevention and fight against the spread of coronavirus. UPDATE: The original policy was set to end April 19th 2020, on April 18th 2020 it was announced that the policy would be extended until April 29th 2020.",2020-04-18,2020-04-19,2020-04-29,The policy has a clear end date,Algeria,DZA,DZ,National,1,,,,Closure and Regulation of Schools,Primary Schools (generally for children ages 10 and below),,"",,,,,,"","","","","","","","","","","",,,Primary Schools closed/locked down,"",Yes,Algeria,"One or more countries, but not all countries",,,,,,All Residents (Citizen Residents + Foreign Residents),,,,Mandatory (Unspecified/Implied),National Government,85.0940460842846,81.6606629590953,78.5498421891916,131,https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_3kGm2FUmMpk6FqK ; https://tummgmt.eu.qualtrics.com/Q/File.php?F=F_1jPP4DKkI0QLrYw,NA ; http://www.aps.dz/en/algeria/33777-coronavirus-extending-closure-of-schools-universities-and-training-centers ; https://www.aps.dz/algerie/104201-education-la-suspension-des-cours-prolongee-au-29-avril?utm_source=feedburner&utm_medium=feed&utm_campaign=Feed%3A+aps-algerie+%28APS+-+ALG%C3%89RIE%29,2022-03-23,2022-03-23T17:22:15Z,2629,375,1047,,,,,,,,,146,45.5,1,-0.435670435428619,0.548431634902954,11,33,41389198,198414298116.561,1.29999999999997,17.5385304868762,26.0136230963202,2,1,0.280441492701272,-0.343795143330409,239473
