init_country,init_prov,init_city,target_country_regions,target_country_exception,target_province,target_city,target_other,target_city_exceptions,event_description,type,target_who_what,travel_direction,travel_mechanism,date_announced,date_start,date_end,date_collected,date_published,link,title,author,Publication,date_published_2,link2,title2,author2,publication2
Taiwan,,,France,,,,,,"Persons returning to Taiwan from most of Europe, plus persons who have transferred through China, Hong Kong, Macau, and Dubai, must quarantine in-home for 14 days",Quarantine,All Travelers  (Citizen Travelers + Foreign Travelers),Inbound,All Travel Mechanisms,3/14/20,03/17/20,,03/21/20,3/20/20,https://www.cdc.gov.tw/En/Bulletin/Detail/6q57qJkOZt2iLorwqGI5Zw?typeid=158,"Starting 2 pm of March 14, travelers yet on board leaving 27 European countries or Dubai are required to practice a 14-day home quarantine after entering Taiwan",Taiwan Centers for Disease Control,Taiwan Centers for Disease Control,,,,,
Taiwan,,,Germany,,,,,,"Persons returning to Taiwan from most of Europe, plus persons who have transferred through China, Hong Kong, Macau, and Dubai, must quarantine in-home for 14 days",Quarantine,All Travelers  (Citizen Travelers + Foreign Travelers),Inbound,All Travel Mechanisms,3/14/20,03/17/20,,03/21/20,3/20/20,https://www.cdc.gov.tw/En/Bulletin/Detail/6q57qJkOZt2iLorwqGI5Zw?typeid=158,"Starting 2 pm of March 14, travelers yet on board leaving 27 European countries or Dubai are required to practice a 14-day home quarantine after entering Taiwan",Taiwan Centers for Disease Control,Taiwan Centers for Disease Control,,,,,
Taiwan,,,Greece,,,,,,"Persons returning to Taiwan from most of Europe, plus persons who have transferred through China, Hong Kong, Macau, and Dubai, must quarantine in-home for 14 days",Quarantine,All Travelers  (Citizen Travelers + Foreign Travelers),Inbound,All Travel Mechanisms,3/14/20,03/17/20,,03/21/20,3/20/20,https://www.cdc.gov.tw/En/Bulletin/Detail/6q57qJkOZt2iLorwqGI5Zw?typeid=158,"Starting 2 pm of March 14, travelers yet on board leaving 27 European countries or Dubai are required to practice a 14-day home quarantine after entering Taiwan",Taiwan Centers for Disease Control,Taiwan Centers for Disease Control,,,,,
Taiwan,,,Hungary,,,,,,"Persons returning to Taiwan from most of Europe, plus persons who have transferred through China, Hong Kong, Macau, and Dubai, must quarantine in-home for 14 days",Quarantine,All Travelers  (Citizen Travelers + Foreign Travelers),Inbound,All Travel Mechanisms,3/14/20,03/17/20,,03/21/20,3/20/20,https://www.cdc.gov.tw/En/Bulletin/Detail/6q57qJkOZt2iLorwqGI5Zw?typeid=158,"Starting 2 pm of March 14, travelers yet on board leaving 27 European countries or Dubai are required to practice a 14-day home quarantine after entering Taiwan",Taiwan Centers for Disease Control,Taiwan Centers for Disease Control,,,,,
Taiwan,,,Iceland,,,,,,"Persons returning to Taiwan from most of Europe, plus persons who have transferred through China, Hong Kong, Macau, and Dubai, must quarantine in-home for 14 days",Quarantine,All Travelers  (Citizen Travelers + Foreign Travelers),Inbound,All Travel Mechanisms,3/14/20,03/17/20,,03/21/20,3/20/20,https://www.cdc.gov.tw/En/Bulletin/Detail/6q57qJkOZt2iLorwqGI5Zw?typeid=158,"Starting 2 pm of March 14, travelers yet on board leaving 27 European countries or Dubai are required to practice a 14-day home quarantine after entering Taiwan",Taiwan Centers for Disease Control,Taiwan Centers for Disease Control,,,,,
Taiwan,,,Latvia,,,,,,"Persons returning to Taiwan from most of Europe, plus persons who have transferred through China, Hong Kong, Macau, and Dubai, must quarantine in-home for 14 days",Quarantine,All Travelers  (Citizen Travelers + Foreign Travelers),Inbound,All Travel Mechanisms,3/14/20,03/17/20,,03/21/20,3/20/20,https://www.cdc.gov.tw/En/Bulletin/Detail/6q57qJkOZt2iLorwqGI5Zw?typeid=158,"Starting 2 pm of March 14, travelers yet on board leaving 27 European countries or Dubai are required to practice a 14-day home quarantine after entering Taiwan",Taiwan Centers for Disease Control,Taiwan Centers for Disease Control,,,,,
Taiwan,,,Liechtenstein,,,,,,"Persons returning to Taiwan from most of Europe, plus persons who have transferred through China, Hong Kong, Macau, and Dubai, must quarantine in-home for 14 days",Quarantine,All Travelers  (Citizen Travelers + Foreign Travelers),Inbound,All Travel Mechanisms,3/14/20,03/17/20,,03/21/20,3/20/20,https://www.cdc.gov.tw/En/Bulletin/Detail/6q57qJkOZt2iLorwqGI5Zw?typeid=158,"Starting 2 pm of March 14, travelers yet on board leaving 27 European countries or Dubai are required to practice a 14-day home quarantine after entering Taiwan",Taiwan Centers for Disease Control,Taiwan Centers for Disease Control,,,,,
Taiwan,,,Lithuainia,,,,,,"Persons returning to Taiwan from most of Europe, plus persons who have transferred through China, Hong Kong, Macau, and Dubai, must quarantine in-home for 14 days",Quarantine,All Travelers  (Citizen Travelers + Foreign Travelers),Inbound,All Travel Mechanisms,3/14/20,03/17/20,,03/21/20,3/20/20,https://www.cdc.gov.tw/En/Bulletin/Detail/6q57qJkOZt2iLorwqGI5Zw?typeid=158,"Starting 2 pm of March 14, travelers yet on board leaving 27 European countries or Dubai are required to practice a 14-day home quarantine after entering Taiwan",Taiwan Centers for Disease Control,Taiwan Centers for Disease Control,,,,,
Taiwan,,,Luxembourg,,,,,,"Persons returning to Taiwan from most of Europe, plus persons who have transferred through China, Hong Kong, Macau, and Dubai, must quarantine in-home for 14 days",Quarantine,All Travelers  (Citizen Travelers + Foreign Travelers),Inbound,All Travel Mechanisms,3/14/20,03/17/20,,03/21/20,3/20/20,https://www.cdc.gov.tw/En/Bulletin/Detail/6q57qJkOZt2iLorwqGI5Zw?typeid=158,"Starting 2 pm of March 14, travelers yet on board leaving 27 European countries or Dubai are required to practice a 14-day home quarantine after entering Taiwan",Taiwan Centers for Disease Control,Taiwan Centers for Disease Control,,,,,
Taiwan,,,Malta,,,,,,"Persons returning to Taiwan from most of Europe, plus persons who have transferred through China, Hong Kong, Macau, and Dubai, must quarantine in-home for 14 days",Quarantine,All Travelers  (Citizen Travelers + Foreign Travelers),Inbound,All Travel Mechanisms,3/14/20,03/17/20,,03/21/20,3/20/20,https://www.cdc.gov.tw/En/Bulletin/Detail/6q57qJkOZt2iLorwqGI5Zw?typeid=158,"Starting 2 pm of March 14, travelers yet on board leaving 27 European countries or Dubai are required to practice a 14-day home quarantine after entering Taiwan",Taiwan Centers for Disease Control,Taiwan Centers for Disease Control,,,,,
