location;time;key_figure;value;additional_value;value_unit;source_type;source_title;source_author;source_year_of_publication;source_edition;source_url;source_url_access_date;published
Afghanistan;2023-04;Restrictions of Mass Gatherings;0;;Policy duration per month;web;CoronaNet Research Project;NA;2021;1.0;https://www.coronanet-project.org/;2023-06-29;1
Afghanistan;2023-05;Restrictions of Mass Gatherings;0;;Policy duration per month;web;CoronaNet Research Project;NA;2021;1.0;https://www.coronanet-project.org/;2023-06-29;1
Albania;2020-01;Restrictions of Mass Gatherings;0;;Policy duration per month;web;CoronaNet Research Project;NA;2021;1.0;https://www.coronanet-project.org/;2023-06-29;1
Albania;2020-02;Restrictions of Mass Gatherings;0;;Policy duration per month;web;CoronaNet Research Project;NA;2021;1.0;https://www.coronanet-project.org/;2023-06-29;1
Albania;2020-03;Restrictions of Mass Gatherings;0.77;439279, 178414,439279, 178414,439279,4678374;Policy duration per month;web;CoronaNet Research Project;NA;2021;1.0;https://www.coronanet-project.org/;2023-06-29;1
Albania;2020-04;Restrictions of Mass Gatherings;1;178414,439279,4678374, 4678374;Policy duration per month;web;CoronaNet Research Project;NA;2021;1.0;https://www.coronanet-project.org/;2023-06-29;1
Albania;2020-05;Restrictions of Mass Gatherings;1;4678374, 4678374,6010997;Policy duration per month;web;CoronaNet Research Project;NA;2021;1.0;https://www.coronanet-project.org/;2023-06-29;1
Albania;2020-06;Restrictions of Mass Gatherings;1;4678374,6010997;Policy duration per month;web;CoronaNet Research Project;NA;2021;1.0;https://www.coronanet-project.org/;2023-06-29;1
Albania;2020-07;Restrictions of Mass Gatherings;1;4678374,6010997;Policy duration per month;web;CoronaNet Research Project;NA;2021;1.0;https://www.coronanet-project.org/;2023-06-29;1
Albania;2020-08;Restrictions of Mass Gatherings;1;4678374,6010997;Policy duration per month;web;CoronaNet Research Project;NA;2021;1.0;https://www.coronanet-project.org/;2023-06-29;1
Albania;2020-09;Restrictions of Mass Gatherings;1;4678374,6010997;Policy duration per month;web;CoronaNet Research Project;NA;2021;1.0;https://www.coronanet-project.org/;2023-06-29;1
Albania;2020-10;Restrictions of Mass Gatherings;1;4678374,6010997;Policy duration per month;web;CoronaNet Research Project;NA;2021;1.0;https://www.coronanet-project.org/;2023-06-29;1
Albania;2020-11;Restrictions of Mass Gatherings;1;4678374,6010997;Policy duration per month;web;CoronaNet Research Project;NA;2021;1.0;https://www.coronanet-project.org/;2023-06-29;1
Albania;2020-12;Restrictions of Mass Gatherings;1;4678374,6010997;Policy duration per month;web;CoronaNet Research Project;NA;2021;1.0;https://www.coronanet-project.org/;2023-06-29;1
Albania;2021-01;Restrictions of Mass Gatherings;1;4678374,6010997;Policy duration per month;web;CoronaNet Research Project;NA;2021;1.0;https://www.coronanet-project.org/;2023-06-29;1
Albania;2021-02;Restrictions of Mass Gatherings;1;4678374,6010997;Policy duration per month;web;CoronaNet Research Project;NA;2021;1.0;https://www.coronanet-project.org/;2023-06-29;1
Albania;2021-03;Restrictions of Mass Gatherings;1;4678374,6010997;Policy duration per month;web;CoronaNet Research Project;NA;2021;1.0;https://www.coronanet-project.org/;2023-06-29;1
Albania;2021-04;Restrictions of Mass Gatherings;1;4678374,6010997;Policy duration per month;web;CoronaNet Research Project;NA;2021;1.0;https://www.coronanet-project.org/;2023-06-29;1
Albania;2021-05;Restrictions of Mass Gatherings;1;4678374,6010997, 2917205,4678374,6010997;Policy duration per month;web;CoronaNet Research Project;NA;2021;1.0;https://www.coronanet-project.org/;2023-06-29;1
Albania;2021-06;Restrictions of Mass Gatherings;1;2917205,4678374,6010997,8504665, 4678374,6010997,8504665;Policy duration per month;web;CoronaNet Research Project;NA;2021;1.0;https://www.coronanet-project.org/;2023-06-29;1
Albania;2021-07;Restrictions of Mass Gatherings;1;4678374,6010997,8504665;Policy duration per month;web;CoronaNet Research Project;NA;2021;1.0;https://www.coronanet-project.org/;2023-06-29;1
Albania;2021-08;Restrictions of Mass Gatherings;1;4678374,6010997,8504665;Policy duration per month;web;CoronaNet Research Project;NA;2021;1.0;https://www.coronanet-project.org/;2023-06-29;1
Albania;2021-09;Restrictions of Mass Gatherings;1;4678374,6010997,8504665;Policy duration per month;web;CoronaNet Research Project;NA;2021;1.0;https://www.coronanet-project.org/;2023-06-29;1
Albania;2021-10;Restrictions of Mass Gatherings;1;4678374,6010997,8504665;Policy duration per month;web;CoronaNet Research Project;NA;2021;1.0;https://www.coronanet-project.org/;2023-06-29;1
Albania;2021-11;Restrictions of Mass Gatherings;1;4678374,6010997,8504665;Policy duration per month;web;CoronaNet Research Project;NA;2021;1.0;https://www.coronanet-project.org/;2023-06-29;1
