record_id,policy_id,entry_type,correct_type,update_type,update_level,description,date_announced,date_start,date_end,country,ISO_A3,ISO_A2,init_country_level,domestic_policy,province,ISO_L2,city,type,type_sub_cat,type_text,institution_status,target_country,target_geog_level,target_region,target_province,target_city,target_other,target_who_what,target_direction,travel_mechanism,compliance,enforcer,dist_index_high_est,dist_index_med_est,dist_index_low_est,dist_index_country_rank,link,date_updated,recorded_date
R_1q1VeByqTpPGQsvNA,3909830,new_entry,original,,,"On March 9, cabinet of TRNC declared that only Ministry of Health can be responsible for sharing information regarding COVID-19 and public should not pay attention to any other source of information about TRNC.",2020-03-09,2020-03-09,,Northern Cyprus,-,-,National,1,,,,Anti-Disinformation Measures,,,,Northern Cyprus,"One or more countries, but not all countries",,,,,All Residents (Citizen Residents + Foreign Residents),,,Voluntary/Recommended but No Penalties,National Government,,,,,https://basbakanlik.gov.ct.tr/BASIN-VE-HALKLA-%C4%B0L%C4%B0%C5%9EK%C4%B0LER/BASIN-A%C3%87IKLAMALARI/ArtMID/3765/ArticleID/123642/BAKANLAR-KURULU-KORONA-V%c4%b0R220SE-KAR%c5%9eI-SINIR-KAPILARINDA-214NLEMLER%c4%b0-ARTIRMA-KARARI-ALDI-BAKANLAR-KURULU-VATANDA%c5%9eLARA-MECBUR-KALMADIK199A-YURT-DI%c5%9eINA-SEYEHAT-ETMEME-VE-G220NEYE-GE199MEME-199A%c4%9eRISI-YAPTI,2020-08-02,2020-08-02T12:11:01Z
R_1jIEV32xrfeDxfuDy,6313921Dy,new_entry,original,,,"In Cyprus, the government announced a closure of schools until the 15th of March.",2020-03-10,2020-03-10,2020-03-15,Northern Cyprus,-,-,National,1,,,,Closure and Regulation of Schools,Preschool or childcare facilities (generally for children ages 5 and below),,Preschool or childcare facilities closed/locked down,Northern Cyprus,"One or more countries, but not all countries",,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),"National Government,Provincial/State Government",,,,,https://www.aa.com.tr/tr/dunya/kktcde-okullar-koronavirus-nedeniyle-tatil-edildi/1760707,2020-05-29,2020-05-29T12:44:02Z
R_1jIEV32xrfeDxfuEa,6313921Ea,new_entry,original,,,"In Cyprus, the government announced a closure of schools until the 15th of March.",2020-03-10,2020-03-10,2020-03-15,Northern Cyprus,-,-,National,1,,,,Closure and Regulation of Schools,Primary Schools (generally for children ages 10 and below),,Primary Schools closed/locked down,Northern Cyprus,"One or more countries, but not all countries",,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),"National Government,Provincial/State Government",,,,,https://www.aa.com.tr/tr/dunya/kktcde-okullar-koronavirus-nedeniyle-tatil-edildi/1760707,2020-05-29,2020-05-29T12:44:02Z
R_1jIEV32xrfeDxfuFj,6313921Fj,new_entry,original,,,"In Cyprus, the government announced a closure of schools until the 15th of March.",2020-03-10,2020-03-10,2020-03-15,Northern Cyprus,-,-,National,1,,,,Closure and Regulation of Schools,Secondary Schools (generally for children ages 10 to 18),,Secondary Schools closed/locked down,Northern Cyprus,"One or more countries, but not all countries",,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),"National Government,Provincial/State Government",,,,,https://www.aa.com.tr/tr/dunya/kktcde-okullar-koronavirus-nedeniyle-tatil-edildi/1760707,2020-05-29,2020-05-29T12:44:02Z
R_1jIEV32xrfeDxfuCe,6313921Ce,new_entry,original,,,"In Cyprus, the government announced a closure of schools until the 15th of March.",2020-03-10,2020-03-10,2020-03-15,Northern Cyprus,-,-,National,1,,,,Closure and Regulation of Schools,Higher education institutions (i.e. degree granting institutions),,Higher education institutions closed/locked down,Northern Cyprus,"One or more countries, but not all countries",,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),"National Government,Provincial/State Government",,,,,https://www.aa.com.tr/tr/dunya/kktcde-okullar-koronavirus-nedeniyle-tatil-edildi/1760707,2020-05-29,2020-05-29T12:44:02Z
R_2WZp7ge2rmTEp66Dy,6313921Dy,update,original,Change of Policy,Strengthening,"In Cyprus, the government announced a closure of schools until the 15th of March. On March 12, they extended it to March 22. UPDATE: The original closure of schools ended on March 15, but on March 12, the date was pushed back to March 22.",2020-03-12,2020-03-12,2020-03-22,Northern Cyprus,-,-,National,1,,,,Closure and Regulation of Schools,Preschool or childcare facilities (generally for children ages 5 and below),,Preschool or childcare facilities closed/locked down,Northern Cyprus,"One or more countries, but not all countries",,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),"National Government,Provincial/State Government",,,,,NA ; https://kktcbasbakanlik.org/BASIN-VE-HALKLA-%C4%B0L%C4%B0%C5%9EK%C4%B0LER/BASIN-A%C3%87IKLAMALARI/ArtMID/3765/ArticleID/123931/KORONAV%c4%b0R220SE-KAR%c5%9eI-YEN%c4%b0-214NLEMLER,2020-08-10,2020-08-10T11:59:56Z
R_2WZp7ge2rmTEp66Ea,6313921Ea,update,original,Change of Policy,Strengthening,"In Cyprus, the government announced a closure of schools until the 15th of March. On March 12, they extended it to March 22. UPDATE: The original closure of schools ended on March 15, but on March 12, the date was pushed back to March 22.",2020-03-12,2020-03-12,2020-03-22,Northern Cyprus,-,-,National,1,,,,Closure and Regulation of Schools,Primary Schools (generally for children ages 10 and below),,Primary Schools closed/locked down,Northern Cyprus,"One or more countries, but not all countries",,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),"National Government,Provincial/State Government",,,,,NA ; https://kktcbasbakanlik.org/BASIN-VE-HALKLA-%C4%B0L%C4%B0%C5%9EK%C4%B0LER/BASIN-A%C3%87IKLAMALARI/ArtMID/3765/ArticleID/123931/KORONAV%c4%b0R220SE-KAR%c5%9eI-YEN%c4%b0-214NLEMLER,2020-08-10,2020-08-10T11:59:56Z
R_2WZp7ge2rmTEp66Fj,6313921Fj,update,original,Change of Policy,Strengthening,"In Cyprus, the government announced a closure of schools until the 15th of March. On March 12, they extended it to March 22. UPDATE: The original closure of schools ended on March 15, but on March 12, the date was pushed back to March 22.",2020-03-12,2020-03-12,2020-03-22,Northern Cyprus,-,-,National,1,,,,Closure and Regulation of Schools,Secondary Schools (generally for children ages 10 to 18),,Secondary Schools closed/locked down,Northern Cyprus,"One or more countries, but not all countries",,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),"National Government,Provincial/State Government",,,,,NA ; https://kktcbasbakanlik.org/BASIN-VE-HALKLA-%C4%B0L%C4%B0%C5%9EK%C4%B0LER/BASIN-A%C3%87IKLAMALARI/ArtMID/3765/ArticleID/123931/KORONAV%c4%b0R220SE-KAR%c5%9eI-YEN%c4%b0-214NLEMLER,2020-08-10,2020-08-10T11:59:56Z
R_2WZp7ge2rmTEp66Ce,6313921Ce,update,original,Change of Policy,Strengthening,"In Cyprus, the government announced a closure of schools until the 15th of March. On March 12, they extended it to March 22. UPDATE: The original closure of schools ended on March 15, but on March 12, the date was pushed back to March 22.",2020-03-12,2020-03-12,2020-03-22,Northern Cyprus,-,-,National,1,,,,Closure and Regulation of Schools,Higher education institutions (i.e. degree granting institutions),,Higher education institutions closed/locked down,Northern Cyprus,"One or more countries, but not all countries",,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),"National Government,Provincial/State Government",,,,,NA ; https://kktcbasbakanlik.org/BASIN-VE-HALKLA-%C4%B0L%C4%B0%C5%9EK%C4%B0LER/BASIN-A%C3%87IKLAMALARI/ArtMID/3765/ArticleID/123931/KORONAV%c4%b0R220SE-KAR%c5%9eI-YEN%c4%b0-214NLEMLER,2020-08-10,2020-08-10T11:59:56Z
R_3oUg4fRPdYrbVl0Dy,7698326Dy,new_entry,original,,,The schools have been closed until April 10.,2020-03-29,2020-03-29,2020-04-10,Northern Cyprus,-,-,National,1,,,,Closure and Regulation of Schools,Preschool or childcare facilities (generally for children ages 5 and below),,Preschool or childcare facilities closed/locked down,Northern Cyprus,"One or more countries, but not all countries",,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),National Government,,,,,https://basbakanlik.gov.ct.tr/BASIN-VE-HALKLA-%C4%B0L%C4%B0%C5%9EK%C4%B0LER/BASIN-A%C3%87IKLAMALARI/ArtMID/3765/ArticleID/125545/BAKANLAR-KURULU-KAMUDA-%c4%b0DAR%c4%b0-%c4%b0Z%c4%b0NLER%c4%b0-10-N%c4%b0SANA-KADAR-UZATTI-OKULLAR-VE-%c4%b0%c5%9eYERLER%c4%b0-DE-KAPALI-OLACAK,2020-08-14,2020-08-14T07:38:36Z
R_3oUg4fRPdYrbVl0Ea,7698326Ea,new_entry,original,,,The schools have been closed until April 10.,2020-03-29,2020-03-29,2020-04-10,Northern Cyprus,-,-,National,1,,,,Closure and Regulation of Schools,Primary Schools (generally for children ages 10 and below),,Primary Schools closed/locked down,Northern Cyprus,"One or more countries, but not all countries",,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),National Government,,,,,https://basbakanlik.gov.ct.tr/BASIN-VE-HALKLA-%C4%B0L%C4%B0%C5%9EK%C4%B0LER/BASIN-A%C3%87IKLAMALARI/ArtMID/3765/ArticleID/125545/BAKANLAR-KURULU-KAMUDA-%c4%b0DAR%c4%b0-%c4%b0Z%c4%b0NLER%c4%b0-10-N%c4%b0SANA-KADAR-UZATTI-OKULLAR-VE-%c4%b0%c5%9eYERLER%c4%b0-DE-KAPALI-OLACAK,2020-08-14,2020-08-14T07:38:36Z
R_3oUg4fRPdYrbVl0Fj,7698326Fj,new_entry,original,,,The schools have been closed until April 10.,2020-03-29,2020-03-29,2020-04-10,Northern Cyprus,-,-,National,1,,,,Closure and Regulation of Schools,Secondary Schools (generally for children ages 10 to 18),,Secondary Schools closed/locked down,Northern Cyprus,"One or more countries, but not all countries",,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),National Government,,,,,https://basbakanlik.gov.ct.tr/BASIN-VE-HALKLA-%C4%B0L%C4%B0%C5%9EK%C4%B0LER/BASIN-A%C3%87IKLAMALARI/ArtMID/3765/ArticleID/125545/BAKANLAR-KURULU-KAMUDA-%c4%b0DAR%c4%b0-%c4%b0Z%c4%b0NLER%c4%b0-10-N%c4%b0SANA-KADAR-UZATTI-OKULLAR-VE-%c4%b0%c5%9eYERLER%c4%b0-DE-KAPALI-OLACAK,2020-08-14,2020-08-14T07:38:36Z
R_3oUg4fRPdYrbVl0Ce,7698326Ce,new_entry,original,,,The schools have been closed until April 10.,2020-03-29,2020-03-29,2020-04-10,Northern Cyprus,-,-,National,1,,,,Closure and Regulation of Schools,Higher education institutions (i.e. degree granting institutions),,Higher education institutions closed/locked down,Northern Cyprus,"One or more countries, but not all countries",,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),National Government,,,,,https://basbakanlik.gov.ct.tr/BASIN-VE-HALKLA-%C4%B0L%C4%B0%C5%9EK%C4%B0LER/BASIN-A%C3%87IKLAMALARI/ArtMID/3765/ArticleID/125545/BAKANLAR-KURULU-KAMUDA-%c4%b0DAR%c4%b0-%c4%b0Z%c4%b0NLER%c4%b0-10-N%c4%b0SANA-KADAR-UZATTI-OKULLAR-VE-%c4%b0%c5%9eYERLER%c4%b0-DE-KAPALI-OLACAK,2020-08-14,2020-08-14T07:38:36Z
R_11bcf1ldR9ryMHQDy,2741684Dy,new_entry,original,,,"On April 9, the government of Northern Cyprus extended the previous date for the closure of all school, to 30 April.",2020-04-09,2020-04-09,2020-04-30,Northern Cyprus,-,-,National,1,,,,Closure and Regulation of Schools,Preschool or childcare facilities (generally for children ages 5 and below),,Preschool or childcare facilities closed/locked down,Northern Cyprus,"One or more countries, but not all countries",,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),National Government,,,,,http://www.yeniduzen.com/nisan-ayinda-covid-19-kibris-raporu-125604h.htm,2020-05-30,2020-05-30T11:24:50Z
R_11bcf1ldR9ryMHQEa,2741684Ea,new_entry,original,,,"On April 9, the government of Northern Cyprus extended the previous date for the closure of all school, to 30 April.",2020-04-09,2020-04-09,2020-04-30,Northern Cyprus,-,-,National,1,,,,Closure and Regulation of Schools,Primary Schools (generally for children ages 10 and below),,Primary Schools closed/locked down,Northern Cyprus,"One or more countries, but not all countries",,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),National Government,,,,,http://www.yeniduzen.com/nisan-ayinda-covid-19-kibris-raporu-125604h.htm,2020-05-30,2020-05-30T11:24:50Z
R_11bcf1ldR9ryMHQFj,2741684Fj,new_entry,original,,,"On April 9, the government of Northern Cyprus extended the previous date for the closure of all school, to 30 April.",2020-04-09,2020-04-09,2020-04-30,Northern Cyprus,-,-,National,1,,,,Closure and Regulation of Schools,Secondary Schools (generally for children ages 10 to 18),,Secondary Schools closed/locked down,Northern Cyprus,"One or more countries, but not all countries",,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),National Government,,,,,http://www.yeniduzen.com/nisan-ayinda-covid-19-kibris-raporu-125604h.htm,2020-05-30,2020-05-30T11:24:50Z
R_11bcf1ldR9ryMHQCe,2741684Ce,new_entry,original,,,"On April 9, the government of Northern Cyprus extended the previous date for the closure of all school, to 30 April.",2020-04-09,2020-04-09,2020-04-30,Northern Cyprus,-,-,National,1,,,,Closure and Regulation of Schools,Higher education institutions (i.e. degree granting institutions),,Higher education institutions closed/locked down,Northern Cyprus,"One or more countries, but not all countries",,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),National Government,,,,,http://www.yeniduzen.com/nisan-ayinda-covid-19-kibris-raporu-125604h.htm,2020-05-30,2020-05-30T11:24:50Z
R_SN1WbkWj2HZxWh3Dy,7698326Dy,update,original,Change of Policy,Strengthening,"The schools have been closed until April 10. On April 9, it got extended to April 30. UPDATE: The original closure date was set to end in April 10, however, it got extended to April 30.",2020-04-09,2020-04-09,2020-04-30,Northern Cyprus,-,-,National,1,,,,Closure and Regulation of Schools,Preschool or childcare facilities (generally for children ages 5 and below),,Preschool or childcare facilities closed/locked down,Northern Cyprus,"One or more countries, but not all countries",,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),National Government,,,,,NA ; http://basimevi.gov.ct.tr/Portals/105/2020/62.pdf?ver=2020-04-09-231114-273,2020-08-25,2020-08-25T12:28:12Z
