record_id,policy_id,entry_type,correct_type,update_type,update_level,description,date_announced,date_start,date_end,country,ISO_A3,ISO_A2,init_country_level,domestic_policy,province,ISO_L2,city,type,type_sub_cat,type_text,institution_status,target_country,target_geog_level,target_region,target_province,target_city,target_other,target_who_what,target_direction,travel_mechanism,compliance,enforcer,dist_index_high_est,dist_index_med_est,dist_index_low_est,dist_index_country_rank,link,date_updated,recorded_date
R_NWt4J1prDsGmdr3NA,7287631,new_entry,correction,,,Ethiopia is introducing a measure demanding media institutions to deliver accurate information to the public from March 16.,2020-03-16,2020-03-16,,Ethiopia,ETH,ET,National,1,,,,Anti-Disinformation Measures,,,,Ethiopia,,,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),National Government,44.0997426021083,40.1237242080511,36.5671095520498,34,NA ; https://twitter.com/PMEthiopia/status/1239483664926457856/photo/2,2020-05-07,2020-05-07T12:36:30Z
R_1CC0trVL5N0hdR4NA,47916,new_entry,correction,,,"On March 23, Ethiopia has passed a new law to limit public disinformation and hate speech via social media accounts with more than 5,000 followers, broadcast, or printed media.",2020-03-23,2020-03-23,2021-05-04,Ethiopia,ETH,ET,National,1,,,,Anti-Disinformation Measures,,,,Ethiopia,,,,,,All Residents (Citizen Residents + Foreign Residents),,,"Mandatory with Legal Penalties (Jail Time),Mandatory with Fines",National Government,51.8125458543917,48.4338505584925,45.3298134481372,26,https://advance.lexis.com/document/?pdmfid=1519360&crid=41627f67-8c4f-4c44-aa02-40fef796fa52&pddocfullpath=%2Fshared%2Fdocument%2Fnews%2Furn%3AcontentItem%3A5YVC-XF21-JB5P-J03N-00000-00&pdcontentcomponentid=404625&pdteaserkey=sr24&pditab=allpods&ecomp=kzJ3k&earg=sr24&prid=2f9be4e3-df4c-4ef8-a046-aa71c8661a10 ; https://www.devex.com/news/hate-speech-and-disinformation-concerns-escalate-in-ethiopia-97095,2021-01-21,2021-01-21T19:54:53Z
R_3e5mmZTueVnTlAvNA,2494550,new_entry,original,,,"From April 11, Ethiopia prohibits the dissemination of false information and of information from unknown sources as part of the State of Emergency measures on Covid-19.",2020-04-11,2020-04-11,2020-09-08,Ethiopia,ETH,ET,National,1,,,,Anti-Disinformation Measures,,,,Ethiopia,,,,,,All Residents (Citizen Residents + Foreign Residents),,,"Mandatory with Legal Penalties (Jail Time),Mandatory with Fines","National Government,Military,Police",71.8787387513389,68.6022914160682,65.5311294143898,64,https://advance.lexis.com/api/permalink/5d9f0dc9-27c4-4fc9-aeb1-5074d0a21039/?context=1519360,2020-05-12,2020-05-12T18:05:11Z
R_3R9OQ6kOEmX9nHENA,7346889,new_entry,original,,,"On August 17, the Ethiopian Ministry of Health hosted a training to media and communication experts to enable them to deliver on their responsibilities for the success of the nationwide COVID-19 testing campaign. The training stresses the immense role of the media in supporting the efforts carried out against the pandemic.",2020-08-17,2020-08-17,2020-08-17,Ethiopia,ETH,ET,National,1,,,,Anti-Disinformation Measures,,,,Ethiopia,"One or more countries, but not all countries",,,,,All Residents (Citizen Residents + Foreign Residents),,,Mandatory (Unspecified/Implied),Ministry/Department of Health,74.5181725942795,70.7983934907855,67.4539213511239,119,https://www.fanabc.com/english/media-urged-to-fulfill-responsibilities-for-success-of-covid-19-testing-campaign/,2020-09-15,2020-09-15T11:17:42Z
R_3kvWgI6CzzzdmYDDy,4264849Dy,new_entry,original,,,"Ethiopia is closing schools at all levels, except higher education institutions from March 16 until March 30, 2020.",2020-03-16,2020-03-16,2020-03-30,Ethiopia,ETH,ET,National,1,,,,Closure and Regulation of Schools,Preschool or childcare facilities (generally for children ages 5 and below),,Preschool or childcare facilities closed/locked down,Ethiopia,,,,,,All Residents (Citizen Residents + Foreign Residents),,,,National Government,44.0997426021083,40.1237242080511,36.5671095520498,34,https://www.africanews.com/2020/03/30/ethiopia-s-coronavirus-rules-crowd-ban-free-transport-regulate-essentials-etc/ ; https://twitter.com/HarunMaruf/status/1239484642912358401,2020-03-30,2020-03-30T21:52:46Z
R_3kvWgI6CzzzdmYDEa,4264849Ea,new_entry,original,,,"Ethiopia is closing schools at all levels, except higher education institutions from March 16 until March 30, 2020.",2020-03-16,2020-03-16,2020-03-30,Ethiopia,ETH,ET,National,1,,,,Closure and Regulation of Schools,Primary Schools (generally for children ages 10 and below),,Primary Schools closed/locked down,Ethiopia,,,,,,All Residents (Citizen Residents + Foreign Residents),,,,National Government,44.0997426021083,40.1237242080511,36.5671095520498,34,https://www.africanews.com/2020/03/30/ethiopia-s-coronavirus-rules-crowd-ban-free-transport-regulate-essentials-etc/ ; https://twitter.com/HarunMaruf/status/1239484642912358401,2020-03-30,2020-03-30T21:52:46Z
R_3kvWgI6CzzzdmYDFj,4264849Fj,new_entry,original,,,"Ethiopia is closing schools at all levels, except higher education institutions from March 16 until March 30, 2020.",2020-03-16,2020-03-16,2020-03-30,Ethiopia,ETH,ET,National,1,,,,Closure and Regulation of Schools,Secondary Schools (generally for children ages 10 to 18),,Secondary Schools closed/locked down,Ethiopia,,,,,,All Residents (Citizen Residents + Foreign Residents),,,,National Government,44.0997426021083,40.1237242080511,36.5671095520498,34,https://www.africanews.com/2020/03/30/ethiopia-s-coronavirus-rules-crowd-ban-free-transport-regulate-essentials-etc/ ; https://twitter.com/HarunMaruf/status/1239484642912358401,2020-03-30,2020-03-30T21:52:46Z
R_2fAG3AC48YQILXADy,4264849Dy,update,original,Change of Policy,Strengthening,"Ethiopia is closing schools at all levels, except higher education institutions from March 16, extended under the State of Emergency from April 8th until September 8th. UPDATE: The closure of schools was extended with the State of Emergency until September 8th and is enforced by the security forces.",2020-03-16,2020-03-16,2020-09-08,Ethiopia,ETH,ET,National,1,,,,Closure and Regulation of Schools,Preschool or childcare facilities (generally for children ages 5 and below),,Preschool or childcare facilities closed/locked down,Ethiopia,,,,,,All Residents (Citizen Residents + Foreign Residents),,,"Mandatory with Legal Penalties (Jail Time),Mandatory with Fines","National Government,Military,Police",44.0997426021083,40.1237242080511,36.5671095520498,34,NA ; https://www.gov.uk/foreign-travel-advice/ethiopia/coronavirus,2020-05-09,2020-05-09T15:58:32Z
R_2fAG3AC48YQILXAEa,4264849Ea,update,original,Change of Policy,Strengthening,"Ethiopia is closing schools at all levels, except higher education institutions from March 16, extended under the State of Emergency from April 8th until September 8th. UPDATE: The closure of schools was extended with the State of Emergency until September 8th and is enforced by the security forces.",2020-03-16,2020-03-16,2020-09-08,Ethiopia,ETH,ET,National,1,,,,Closure and Regulation of Schools,Primary Schools (generally for children ages 10 and below),,Primary Schools closed/locked down,Ethiopia,,,,,,All Residents (Citizen Residents + Foreign Residents),,,"Mandatory with Legal Penalties (Jail Time),Mandatory with Fines","National Government,Military,Police",44.0997426021083,40.1237242080511,36.5671095520498,34,NA ; https://www.gov.uk/foreign-travel-advice/ethiopia/coronavirus,2020-05-09,2020-05-09T15:58:32Z
R_2fAG3AC48YQILXAFj,4264849Fj,update,original,Change of Policy,Strengthening,"Ethiopia is closing schools at all levels, except higher education institutions from March 16, extended under the State of Emergency from April 8th until September 8th. UPDATE: The closure of schools was extended with the State of Emergency until September 8th and is enforced by the security forces.",2020-03-16,2020-03-16,2020-09-08,Ethiopia,ETH,ET,National,1,,,,Closure and Regulation of Schools,Secondary Schools (generally for children ages 10 to 18),,Secondary Schools closed/locked down,Ethiopia,,,,,,All Residents (Citizen Residents + Foreign Residents),,,"Mandatory with Legal Penalties (Jail Time),Mandatory with Fines","National Government,Military,Police",44.0997426021083,40.1237242080511,36.5671095520498,34,NA ; https://www.gov.uk/foreign-travel-advice/ethiopia/coronavirus,2020-05-09,2020-05-09T15:58:32Z
